disease_target_phase,primary_use_case,assay_aim,assay_target,target_analyte,drug_resistance_target,other_drug_resistance_target,validated_sample_types,other_validated_sample_type,submission_id,submission_title,manufacturer,country,region,stage_of_development,regulatory_status,other_regulatory_status,target_pathogen,planned_market_entry,type_of_technology,technology_principle,test_format,instrument_requirement,lab_vs_poc,readout_technology,resistance_marker,other_test_format,level_of_automation,self_testing_self_collection,time_to_results_excl_prep,test_to_be_listed_on_finds_web_page,data_to_be_published_on_finds_web_page,target_patient_group,type_data_source,study_type,performance_submission_title,sensitivity,sensitivity_ci_low,sensitivity_ci_up,specificity,specificity_ci_low,specificity_ci_up,total_number_samples,sample_type,number_positive_samples,number_negative_samples,city,permalink,country_tmp,city2,lat,lng,who_technology_class,who_pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Fluoroquinolone,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb67,Truenat MTB-FQ,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,Pipe
Active,"Monitoring (treatment, immune status, patient)",Tuberculosis,Antigen,Private,Not applicable,NA,Whole Blood,NA,a2r69000007lbL5,T cell activation marker (TAM-TB) assay,Beckman Coulter Inc.,United States,Region of the Americas,Early Stage Development (partial prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Immunoassay,Private,Other,A proprietary/new instrument is required,Lab-based,Fluorescence,Private,Flow cytometry,Unknown,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Pasadena,https://beckmancoulter.com,United States,"Pasadena, United States",34.14955139,-118.14144897,Not applicable,Pipe
Active,"Triage/Screening; Monitoring (treatment, immune status, patient)",Tuberculosis,Antigen,Private,Not applicable,NA,Sputum,NA,a2r69000007lbL9,PATHFAST-LAM,LSI Medience Corporation,Japan,Western Pacific Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Immunoassay,Private,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Minato-ku,https://medience.co.jp,Japan,"Minato-ku, Japan",35.65807343,139.75140381,Low complexity,Pipe
Active,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Urine,NA,a2r69000007lbLE,gLAMexpress,Mologic Ltd.,United Kingdom,European Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Immunoassay,Private,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Thurleigh,https://mologic.co.uk,United Kingdom,"Thurleigh, United Kingdom",52.21430206,-0.45711488,Low complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Isoniazid; Rifampicin,NA,Sputum,NA,a2r69000007lbEn,TruArray MDR-TB,"Akonni Biosystems, Inc.",United States,Region of the Americas,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Colorimetric,Private,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Frederick,https://akonni.com,United States,"Frederick, United States",39.41418076,-77.41093445,High complexity,Pipe
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Not applicable,Rifampicin,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb6D,Truenat MTB-RIF Dx,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,RIF detection from sputum,84.2,62.4,94.5,95.2,90.8,97.5,0,Sputum,0,0,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Not applicable,Rifampicin,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb6D,Truenat MTB-RIF Dx,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,rpoB,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Other,Independent,RIF detection from sputum,84,62,95,95,91,98,186,Sputum,19,167,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB nrdB gene,Not applicable,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb8k,Truenat MTB,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Not applicable,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,TB detection from pulmonary and EPTB specimen,91.1,0,0,100,0,0,226,Sputum,191,35,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB nrdB gene,Not applicable,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb8k,Truenat MTB,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Not applicable,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Other,Independent,TB detection from sputum,73,68,78,98,97,99,1336,Sputum,258,1078,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB nrdB gene,Not applicable,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb8k,Truenat MTB,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Not applicable,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Other,Independent,TB detection from sputum (smear positive),91,86,94,NA,NA,NA,174,Sputum,174,0,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB nrdB gene,Not applicable,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb8k,Truenat MTB,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Not applicable,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Other,Independent,TB detection  from sputum (smear negative),37,27,48,98,97,99,1162,Sputum,84,1078,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Private,Isoniazid,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb6E,Truenat MTB-INH,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,INH detection from sputum,100,0,0,96.15,0,0,50,Sputum,0,0,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB IS6110; MTB nrdz gene,Not applicable,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb8l,Truenat MTB Plus,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Not applicable,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,TB detection from sputum,79.8,74.5,84.3,96.5,95.2,97.4,1654,Sputum,0,0,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB IS6110; MTB nrdz gene,Not applicable,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb8l,Truenat MTB Plus,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Not applicable,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Other,Independent,TB detection from sputum,80,75,84,96,95,97,1336,Sputum,258,1078,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB IS6110; MTB nrdz gene,Not applicable,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb8l,Truenat MTB Plus,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Not applicable,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Other,Independent,TB detection from sputum (smear positive),96,92,98,NA,NA,NA,174,Sputum,174,0,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB IS6110; MTB nrdz gene,Not applicable,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb8l,Truenat MTB Plus,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,qPCR,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Not applicable,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Other,Independent,TB detection from sputum (smear negative),46,36,57,97,95,97,1162,Sputum,84,1078,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Isoniazid; Rifampicin,NA,Bronchoalveolar lavage; Sputum; Urine; Other,Cavitary Fluid; Biopsies/Tissue Bronchial Aspirate (BA); Gastric Aspirates,a2r69000007lbF9,MDR/MTB ELITe MGB Kit for InGenius platform,ELITechGroup,France,European Region,Regulatory Achieved,Brazil ANVISA; CE-IVDD,NA,Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,Private,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Puteaux,https://elitechgroup.com,France,"Puteaux, France",48.88328552,2.23760176,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,Private,Not applicable,NA,Bronchoalveolar lavage; Sputum; Urine; Other,Cavitary Fluid; Biopsies/Tissue Bronchial Aspirate (BA); Gastric Aspirates,a2r69000007lbFA,MTB EXTRA ELITe MGB Kit for InGenius platform,ELITechGroup,France,European Region,Regulatory Achieved,Brazil ANVISA; CE-IVDD,NA,Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,Private,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Puteaux,https://elitechgroup.com,France,"Puteaux, France",48.88328552,2.23760176,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Not applicable,Pyrazinamide,NA,Sputum; Other,Culture,a2r69000007lb69,Genoscholar PZA-TB II,Nipro Corporation,Japan,Western Pacific Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Hybridization,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Colorimetric,pncA,NA,Manual,Intended for professional use only,1440,Yes,Yes,Active TB,Other,Independent,PZA detection from sputum culture,81.2,75.4,85.8,97.8,96.5,98.6,964,Sputum Culture,NA,NA,"3-9-3, Honjo-Nishi, Kita-ku,",https://nipro.co.jp,Japan,"3-9-3, Honjo-Nishi, Kita-ku,, Japan",35.70628533,139.80304086,High complexity,WHO
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Not applicable,Pyrazinamide,NA,Sputum; Other,Culture,a2r69000007lb69,Genoscholar PZA-TB II,Nipro Corporation,Japan,Western Pacific Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Hybridization,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Colorimetric,pncA,NA,Manual,Intended for professional use only,1440,Yes,Yes,Active TB,Other,Independent,PZA detection from sputum culture,96.4,93.3,98.4,100,99.4,100,NA,Sputum Culture,NA,NA,"3-9-3, Honjo-Nishi, Kita-ku,",https://nipro.co.jp,Japan,"3-9-3, Honjo-Nishi, Kita-ku,, Japan",35.70628533,139.80304086,High complexity,WHO
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Not applicable,Pyrazinamide,NA,Sputum; Other,Culture,a2r69000007lb69,Genoscholar PZA-TB II,Nipro Corporation,Japan,Western Pacific Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Hybridization,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Colorimetric,pncA,NA,Manual,Intended for professional use only,1440,Yes,Yes,Active TB,Other,Independent,PZA detection from sputum culture,95.7,93.5,97.2,98.6,97.4,99.2,NA,Sputum Culture,NA,NA,"3-9-3, Honjo-Nishi, Kita-ku,",https://nipro.co.jp,Japan,"3-9-3, Honjo-Nishi, Kita-ku,, Japan",35.70628533,139.80304086,High complexity,WHO
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Private,Fluoroquinolone; Kanamycin,NA,Sputum; Other,Culture,a2r69000007lbll,Genoscholar FQ+KM-TB II,Nipro Corporation,Japan,Western Pacific Region,Research Use Only (RUO),Unknown,NA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Colorimetric,Private,NA,Manual,Intended for professional use only,1440,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,"3-9-3, Honjo-Nishi, Kita-ku,",https://nipro.co.jp,Japan,"3-9-3, Honjo-Nishi, Kita-ku,, Japan",35.70628533,139.80304086,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Culture,a2r69000007lbFD,Genoscholar NTM+MDRTB II,Nipro Corporation,Japan,Western Pacific Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Hybridization,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Colorimetric,inhA promoter; katG; rpoB,NA,Manual,Intended for professional use only,1440,Yes,Yes,Active TB,Other,Independent,RIF detection from sputum,NA,75,100,NA,96.5,100,NA,Sputum,NA,NA,"3-9-3, Honjo-Nishi, Kita-ku,",https://nipro.co.jp,Japan,"3-9-3, Honjo-Nishi, Kita-ku,, Japan",35.70628533,139.80304086,High complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Culture,a2r69000007lbFD,Genoscholar NTM+MDRTB II,Nipro Corporation,Japan,Western Pacific Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Hybridization,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Colorimetric,inhA promoter; katG; rpoB,NA,Manual,Intended for professional use only,1440,Yes,Yes,Active TB,Other,Independent,INH detection from sputum,NA,50,94.9,NA,96.5,97.8,NA,Sputum,NA,NA,"3-9-3, Honjo-Nishi, Kita-ku,",https://nipro.co.jp,Japan,"3-9-3, Honjo-Nishi, Kita-ku,, Japan",35.70628533,139.80304086,High complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Culture,a2r69000007lbFD,Genoscholar NTM+MDRTB II,Nipro Corporation,Japan,Western Pacific Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Hybridization,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Colorimetric,inhA promoter; katG; rpoB,NA,Manual,Intended for professional use only,1440,Yes,Yes,Active TB,Other,Independent,RIF detection from culture isolates,NA,92.8,98.9,NA,97.3,98.2,NA,Sputum Culture,NA,NA,"3-9-3, Honjo-Nishi, Kita-ku,",https://nipro.co.jp,Japan,"3-9-3, Honjo-Nishi, Kita-ku,, Japan",35.70628533,139.80304086,High complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Culture,a2r69000007lbFD,Genoscholar NTM+MDRTB II,Nipro Corporation,Japan,Western Pacific Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Hybridization,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Colorimetric,inhA promoter; katG; rpoB,NA,Manual,Intended for professional use only,1440,Yes,Yes,Active TB,Other,Independent,INH detection from culture isolates,NA,61.6,91.6,NA,99.4,100,NA,Sputum Culture,NA,NA,"3-9-3, Honjo-Nishi, Kita-ku,",https://nipro.co.jp,Japan,"3-9-3, Honjo-Nishi, Kita-ku,, Japan",35.70628533,139.80304086,High complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Not applicable,Isoniazid; Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb6A,cobas MTB-RIF/INH,Roche Diagnostics International AG,Switzerland,European Region,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Manual,Intended for professional use only,NA,Yes,Yes,Active TB,Instructions for Use (IFU),Company-Sponsored,RIF detection from sputum,96.7,91.7,99.1,97.9,95.8,99.2,NA,Sputum,NA,NA,Rotkreuz,https://molecular.roche.com,Switzerland,"Rotkreuz, Switzerland",47.13299942,8.46700001,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Not applicable,Isoniazid; Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,Sputum Sediment,a2r69000007lb6A,cobas MTB-RIF/INH,Roche Diagnostics International AG,Switzerland,European Region,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Manual,Intended for professional use only,NA,Yes,Yes,Active TB,Instructions for Use (IFU),Company-Sponsored,INH detection from sputum,97.4,93.5,99.3,99.3,97.6,99.9,NA,Sputum,NA,NA,Rotkreuz,https://molecular.roche.com,Switzerland,"Rotkreuz, Switzerland",47.13299942,8.46700001,Moderate complexity,WHO
Latent,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Plasma,Li-Heprin,a2r69000007lb93,ichroma IGRA-TB 25,Boditech Med Inc.,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Private,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Chuncheon-s,https://boditech.co.kr/en,South Korea,"Chuncheon-s, Korea, Republic of",37.86963272,127.73867798,Low complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Isoniazid; Rifampicin,NA,Sputum,NA,a2r69000007lbFK,STANDARD M MDR-TB,"SD Biosensor, Inc.","Korea, Republic of",Western Pacific Region,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,Private,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Automated (excluding sample preparation),Intended for professional use only,30,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Suwon-si,https://sdbiosensor.com,South Korea,"Suwon-si, Korea, Republic of",37.25973511,127.00894928,Low complexity,Pipe
Latent,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Plasma,sensitized whole blood in TB-Feron Tubes,a2r69000007lbLC,STANDARD F TB-Feron FIA,"SD Biosensor, Inc.","Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Private,Rapid diagnostic test (strip or cassette),A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Manual,Intended for professional use only,15,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Suwon-si,https://sdbiosensor.com,South Korea,"Suwon-si, Korea, Republic of",37.25973511,127.00894928,Low complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,Private,Not applicable,NA,Unknown,NA,a2r69000007lbLB,STANDARD M MTB/NTM,"SD Biosensor, Inc.","Korea, Republic of",Western Pacific Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Suwon-si,https://sdbiosensor.com,South Korea,"Suwon-si, Korea, Republic of",37.25973511,127.00894928,Low complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Rifampicin,NA,Sputum,NA,a2r69000007lbF2,Gendrive MTB/RIF ID,Epistem Limited,United Kingdom,European Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Manchester,https://epistem.co.uk,United Kingdom,"Manchester, United Kingdom",53.47867584,-2.24383903,Low complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Amikacin; Capreomycin; Fluoroquinolone; Kanamycin,NA,Unknown,NA,a2r69000007lb8x,STANDARD M XDR-TB,"SD Biosensor, Inc.","Korea, Republic of",Western Pacific Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Suwon-si,https://sdbiosensor.com,South Korea,"Suwon-si, Korea, Republic of",37.25973511,127.00894928,Low complexity,Pipe
Latent,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Whole Blood,NA,a2r69000007lbL6,VIDAS TB-IGRA,bioMérieux,France,European Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Private,Other,A proprietary/new instrument is required,Lab-based,Fluorescence,Private,Reagent strip,Automated (excluding sample preparation),Intended for professional use only,1020,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Marcy l'Etoile,https://biomerieux-diagnostics.com,France,"Marcy l'Etoile, France",45.78102875,4.70581245,Not applicable,Pipe
