disease_target,manufacturer,submission_id,submission_title,country,region,type_of_technology,stage_of_development,regulatory_status,target_pathogen,serovar_subtype,assay_target,target_analyte,test_format,lab_vs_poc,validated_sample_types,city,instrument_name,test_to_be_listed_on_finds_web_page,permalink,country_tmp,city2,lat,lng
Ebola virus disease,Zalgen Labs,a2r69000007lbto,ReEBOV VP40 Antigen ELISA Test Kit,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Ebola virus,Ebola spp.,Antigen,EBOV viral matrix protein 40,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Lassa,Zalgen Labs,a2r69000007lbi7,ReLASV Pan Lassa Prefusion GP IgG/IgM ELISA Kit RUO,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Lassa virus,Pan-LasV Lineage,Antibody (serological),Anti-LasV IgG; Anti-LasV IgM,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Lassa,Zalgen Labs,a2r69000007lbhw,ReLASV Pan Lassa NP IgG/IgM ELISA Kit RUO,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Lassa virus,Pan-LasV Lineage,Antibody (serological),Anti-LasV IgG; Anti-LasV IgM,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Lassa,Zalgen Labs,a2r69000007lbib,ReLASV Pan Lassa Prefusion GP IgG ELISA Kit RUO,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Lassa virus,Pan-LasV Lineage,Antibody (serological),Anti-LasV IgG,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Lassa,Zalgen Labs,a2r69000007lbi8,ReLASV Pan Lassa Linked GP IgG/IgM ELISA Kit RUO,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Lassa virus,Pan-LasV Lineage,Antibody (serological),Anti-LasV IgG; Anti-LasV IgM,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Lassa,Zalgen Labs,a2r69000007lbia,ReLASV Prefusion GP Lineage IV IgG ELISA Kit RUO,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Lassa virus,LasV Lineage IV,Antibody (serological),Anti-LasV IgG,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Gastroenteritis; Salmonellosis (Non-Typhoidal),Creative Biogene,a2rVj00000019sy,Salmonella Real Time PCR Kit (BR002),United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Salmonella spp.,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Stool; Water (environmental sample); Other,Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Enteric fever; Typhoid fever,Creative Biogene,a2rVj00000019t0,Salmonella Typhi Real Time PCR Kit (AR012),United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Salmonella Typhi,Not applicable,DNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Stool; Water (environmental sample),Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Gastroenteritis; Salmonellosis (Non-Typhoidal),Creative Biogene,a2rVj00000019sz,Salmonella & Shigella Real Time PCR Kit (AR011),United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Salmonella spp.; Shigella spp,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Stool; Water (environmental sample),Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Gastroenteritis; Salmonellosis (Non-Typhoidal),Siemens Healthcare GmbH,a2rVj00000019u0,FTD Bacterial Gastroenteritis - RUO assay,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Campylobacter jejuni; Campylobacter lari; Clostridioides difficile; Escherichia coli; Other; Salmonella spp.; Shigella spp; Yersinia enterocolitica,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Erlangen,NA,Yes,https://siemens-healthineers.com,United States,"Erlangen, United States",39.50357056,-99.01834106
Enteric fever; Typhoid fever,Creative Diagnostics,a2rVj00000019t6,Salmonella Typhi IgM ELISA Kit (DEIA8603),United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Salmonella Typhi,Not applicable,Antibody (serological),Anti-Salmonella typhi IgM,IA Reagent Kit,Lab-based,Plasma; Serum,Shirley,NA,Yes,https://creative-diagnostics.com,United States,"Shirley, United States",42.53978729,-71.65859222
Enteric fever; Typhoid fever,Creative Diagnostics,a2rVj00000019t5,Salmonella IgG ELISA Kit (DEIA4172),United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Salmonella Typhi,Not applicable,Antibody (serological),Anti-Salmonella typhi IgG,IA Reagent Kit,Lab-based,Plasma; Serum,Shirley,NA,Yes,https://creative-diagnostics.com,United States,"Shirley, United States",42.53978729,-71.65859222
Gastroenteritis; Salmonellosis (Non-Typhoidal),Creative Diagnostics,a2rVj00000019t7,Salmonella Ag Rapid Test (DTS600),United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Salmonella spp.,Unspecified,Antigen,Unknown,Rapid diagnostic test (strip or cassette),True Point of Care,Unknown,Shirley,NA,Yes,https://creative-diagnostics.com,United States,"Shirley, United States",42.53978729,-71.65859222
Enteric fever; Paratyphoid fever,Creative Biogene,a2rVj00000019t2,Salmonella Paratyphi B Real Time PCR Kit (AR014),United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Salmonella Paratyphi,S.paratyphi B,DNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Stool; Water (environmental sample),Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Enteric fever; Paratyphoid fever,Creative Biogene,a2rVj00000019t1,Salmonella paratyphi A Real Time PCR Kit (AR013),United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Salmonella Paratyphi,S.paratyphi A,DNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Stool; Water (environmental sample),Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Gastroenteritis; Salmonellosis (Non-Typhoidal),Creative Biogene,a2rVj00000019t4,"Salmonella, S.Aureus, Vibrio Parahemolyticus Real Time PCR",United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Salmonella spp.; Staphylococcus aureus; Vibrio parahaemolyticus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Gastroenteritis; Salmonellosis (Non-Typhoidal),Creative Biogene,a2rVj00000019t3,"Salmonella, S.Aureus, L. Monocytogenes Multiplex Real Time PCR",United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Listeria monocytogenes; Salmonella spp.; Staphylococcus aureus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Lassa,Sunlong Biotech,a2r69000006Skdm,Human Lassa Virus IgG ELISA Kit,China,Western Pacific Region,Immunoassay,Research Use Only (RUO),None,Lassa virus,Unspecified,Antibody (serological),Anti-LasV IgG,IA Reagent Kit,Lab-based,Plasma; Serum; Tissue/Biopsy; Urine; Other,Hangzhou,NA,Yes,https://sunlongbiotech.com,China,"Hangzhou, China",30.24592018,120.21079254
Lassa,Primer Design Ltd,a2r69000006Skdj,Primerdesign genesig Lassa virus Josiah Standard Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Lassa virus,LasV Lineage IV,RNA,LasV GP-gene,NAT reagent kit (open source),Lab-based,Purified RNA,Chandler's Ford,NA,Yes,https://primerdesign.co.uk/home,United States,"Chandler's Ford, United States",50.9879303,-1.37408686
Lassa,Zalgen Labs,a2r69000006Skdd,ReLASV Pan-Lassa Combo NP/ Prefusion GP IgM ELISA Kit – RUO,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Lassa virus,Pan-LasV Lineage,Antibody (serological),Anti-LasV IgM,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Lassa,Zalgen Labs,a2r69000006Skde,ReLASV Pan-Lassa Combo NP/ Prefusion GP IgG ELISA Kit – RUO,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Lassa virus,Pan-LasV Lineage,Antibody (serological),Anti-LasV IgG,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Lassa,Sunlong Biotech,a2r69000006Skdb,Human Lassa Virus IgM ELISA Kit,China,Western Pacific Region,Immunoassay,Research Use Only (RUO),None,Lassa virus,Unspecified,Antibody (serological),Anti-LasV IgM,IA Reagent Kit,Lab-based,Plasma; Serum; Tissue/Biopsy; Urine; Other,Hangzhou,NA,Yes,https://sunlongbiotech.com,China,"Hangzhou, China",30.24592018,120.21079254
Lassa,Creative Biogene,a2r69000006Skdi,Lassa Virus (LV) Real Time RT-PCR Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Lassa virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Serum; Stool; Urine,Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Lassa,Zalgen Labs,a2r69000006Skdf,ReLASV Pan Lassa NP IgM ELISA Kit RUO,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Lassa virus,Pan-LasV Lineage,Antibody (serological),Anti-LasV IgG; Anti-LasV IgM,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Lassa,Zalgen Labs,a2r69000006Skdg,ReLASV Pan Lassa Prefusion GP IgM ELISA Kit RUO,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Lassa virus,Pan-LasV Lineage,Antibody (serological),Anti-LasV IgM,IA Reagent Kit,Lab-based,Plasma; Serum,Germantown,NA,Yes,https://zalgen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Dengue,"Coyote Bioscience Co., Ltd.",a2rVj0000002DVp,FlashDetect LyocartD Dengue Assay,China,Western Pacific Region,Molecular,Research Use Only (RUO),None,Dengue virus,Unspecified,RNA,Unknown,Cartridge-based processing,near Point of Care,Unknown,Beijing,NA,Yes,https://coyotebio.com,China,"Beijing, China",39.9078064,116.39758301
Cholera,"Coyote Bioscience Co., Ltd.",a2rVj0000003c8n,FlashDetect LyocartE Vibrio cholerae O1/Vibrio cholerae O139,China,Western Pacific Region,Molecular,Research Use Only (RUO),None,Vibrio cholerae,V.cholerae O1; V.cholerae O139,RNA,Unknown,Cartridge-based processing,near Point of Care,Unknown,Beijing,FlashDetect Nano,Yes,https://coyotebio.com,China,"Beijing, China",39.9078064,116.39758301
Enteric fever; Typhoid fever,VIDIA spol. s r.o.,a2rVj00000019u8,Rapid-VIDITEST Salmonella typhi Card ,Czech Republic,European Region,Immunoassay,Research Use Only (RUO),None,Salmonella Typhi,Not applicable,Antigen,Unknown,Rapid diagnostic test (strip or cassette),True Point of Care,Stool,NA,NA,Yes,https://vidia.cz,Czech Republic,Czech Republic,49.73923874,15.3317976
Mpox,QIAGEN GmbH,a2rVj0000003XVh,QIAstat-Dx Viral Vesicular Panel,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Enterovirus; Mpox virus; Other,MPX Clade I; Other,RNA + DNA,Unknown,Cartridge-based processing,near Point of Care,Other,Germantown,QIAstat-Dx Analyzer,Yes,https://www.qiagen.com,United States,"Germantown, United States",39.17694473,-77.27016449
Typhoid fever,Creative Biolabs,a2rVj00000040xe,"Typhoid IgM Antibody ELISA Kit, Human",United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Salmonella Typhi,Salmonella Typhi,Antibody (serological),Anti-Salmonella IgM,IA Reagent Kit,Lab-based,Unknown,Brookhaven,NA,Yes,https://Creative Biolabs,United States,"Brookhaven, United States",40.78710938,-72.91708374
Yellow fever,Creative Biolabs,a2rVj00000040xf,"Yellow Fever Virus E Protein IgG Antibody ELISA Kit, Human",United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Yellow Fever virus,Not applicable,Antibody (serological),Anti-YFV IgG,IA Reagent Kit,Lab-based,Unknown,Brookhaven,NA,Yes,https://Creative Biolabs,United States,"Brookhaven, United States",40.78710938,-72.91708374
Marburg virus disease,Alpha Diagnostic International,a2r69000006Shtc,Human Anti-Marburg (Angola) glycoprotein (GP) IgG ELISA Kit,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Marburg virus,Not applicable,Antibody (serological),Anti-MARV IgG,IA Reagent Kit,Lab-based,Plasma; Serum,San Antonio,NA,Yes,https://4adi.com,United States,"San Antonio, United States",29.4251709,-98.49461365
Marburg virus disease,Genekam,a2r69000006Shtr,Marburg Virus PCR kit,Germany,European Region,Molecular,Research Use Only (RUO),None,Marburg virus,Not applicable,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Tissue/Biopsy; Venous blood; Other,Duisburg,NA,Yes,https://genekam.de,Germany,"Duisburg, Germany",51.43514633,6.76269102
Marburg virus disease,Creative Biolabs,a2r69000006Shti,"Marburg GP IgG Antibody ELISA Kit, Human",United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Marburg virus,Not applicable,Antibody (serological),Anti-MARV IgG,IA Reagent Kit,Lab-based,Serum; Other,Brookhaven,NA,Yes,https://Creative Biolabs,United States,"Brookhaven, United States",40.78710938,-72.91708374
Marburg virus disease,BioinGentech Biotechnology,a2r69000006Shto,HumqPCR-realtime MARV Real Time Kit,Chile,Region of the Americas,Molecular,Research Use Only (RUO),None,Marburg virus,Not applicable,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Concepción,NA,Yes,https://kitpcr.com,Chile,"Concepción, Chile",-36.82707977,-73.05023956
Marburg virus disease,BioinGentech Biotechnology,a2r69000006Shtp,HumPCR MARV Detection Kit,Chile,Region of the Americas,Molecular,Research Use Only (RUO),None,Marburg virus,Not applicable,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Concepción,NA,Yes,https://kitpcr.com,Chile,"Concepción, Chile",-36.82707977,-73.05023956
Ebola virus disease; Marburg virus disease,"Biomedical, Inc.",a2r69000006Shte,Syntol Ebola/Marburg virus Real-Time PCR,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Ebola virus; Marburg virus,Bundibugyo ebolavirus; Reston ebolavirus; Sudan ebolavirus; Tai Forest ebolavirus; Zaire ebolavirus,RNA,EBOV Nucleotide protein; MARV NP gene,NAT reagent kit (open source),Lab-based,Tissue/Biopsy; Venous blood,Santa Clarita,NA,Yes,https://biomedical-inc.com/,United States,"Santa Clarita, United States",34.41414261,-118.55419159
Ebola virus disease; Marburg virus disease,Alpha Diagnostic International,a2r69000006Shtb,Custom Testing of Samples for Antibodies to Ebola/Marburg Virus Protein ELISA,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Ebola virus; Marburg virus,Unspecified,Antibody (serological),Anti-MARV IgA; Anti-MARV IgG; Anti-MARV IgM; Other,IA Reagent Kit,Lab-based,Unknown,San Antonio,NA,Yes,https://4adi.com,United States,"San Antonio, United States",29.4251709,-98.49461365
Marburg virus disease,Sunlong Biotech,a2r69000006Shtu,Human Marburg IgM ELISA Kit,China,Western Pacific Region,Immunoassay,Research Use Only (RUO),None,Marburg virus,Not applicable,Antibody (serological),Anti-MARV IgM,IA Reagent Kit,Lab-based,Plasma; Saliva; Serum; Tissue/Biopsy; Urine; Other,Hangzhou,NA,Yes,https://sunlongbiotech.com,China,"Hangzhou, China",30.24592018,120.21079254
Marburg virus disease,Primer Design Ltd,a2r69000006Shts,Marburgvirus Viral protein 35 (VP35) gene Standard kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Marburg virus,Not applicable,RNA,MARV VP35,NAT reagent kit (open source),Lab-based,Purified RNA,Chandler's Ford,NA,Yes,https://primerdesign.co.uk/home,United States,"Chandler's Ford, United States",50.9879303,-1.37408686
Marburg virus disease,Sunlong Biotech,a2r69000006Shtt,Human Marburg IgG ELISA Kit,China,Western Pacific Region,Immunoassay,Research Use Only (RUO),None,Marburg virus,Not applicable,Antibody (serological),Anti-MARV IgG,IA Reagent Kit,Lab-based,Plasma; Saliva; Serum; Tissue/Biopsy; Urine; Other,Hangzhou,NA,Yes,https://sunlongbiotech.com,China,"Hangzhou, China",30.24592018,120.21079254
Marburg virus disease,BioinGentech Biotechnology,a2r69000006Shtn,OneqPCR-realtime MARV RNA Real Time PCR Kit,Chile,Region of the Americas,Molecular,Research Use Only (RUO),None,Marburg virus,Not applicable,RNA,Unknown,NAT reagent kit (open source),Lab-based,Purified RNA,Concepción,NA,Yes,https://kitpcr.com,Chile,"Concepción, Chile",-36.82707977,-73.05023956
Marburg virus disease,Alpha Diagnostic International,a2r69000006Shtd,Human Anti-Marburg (Angola) glycoprotein (GP) IgM ELISA Kit,United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Marburg virus,Not applicable,Antibody (serological),Anti-MARV IgM,IA Reagent Kit,Lab-based,Plasma; Serum,San Antonio,NA,Yes,https://4adi.com,United States,"San Antonio, United States",29.4251709,-98.49461365
Marburg virus disease,Creative Biolabs,a2r69000006Shth,"Marburg GP IgM Antibody ELISA Kit, Human",United States,Region of the Americas,Immunoassay,Research Use Only (RUO),None,Marburg virus,Not applicable,Antibody (serological),Anti-MARV IgM,IA Reagent Kit,Lab-based,Serum; Other,Brookhaven,NA,Yes,https://Creative Biolabs,United States,"Brookhaven, United States",40.78710938,-72.91708374
Marburg virus disease,Creative Biogene,a2r69000006Shtg,Marburg Virus (MBV) Real Time RT-PCR Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Marburg virus,Not applicable,RNA,Unknown,NAT reagent kit (open source),Lab-based,Serum; Other,Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Meningitis,BioinGentech Biotechnology,a2r69000006ShpV,Neisseria meningitidis - Realtime DNA,Chile,Region of the Americas,Molecular,Research Use Only (RUO),None,Neisseria meningitidis,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Cerebrospinal fluid (CSF); Colony/plate; Serum; Stool; Tissue/Biopsy; Venous blood; Other,Concepción,NA,Yes,https://kitpcr.com,Chile,"Concepción, Chile",-36.82707977,-73.05023956
Meningitis,BioGX,a2r69000006ShpT,Bacterial Meningitis NSH – OSR (BD MAX),United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Haemophilus influenzae; Neisseria meningitidis; Streptococcus pneumoniae,Unspecified,DNA,Other,NAT reagent kit (proprietary platform),Lab-based,Cerebrospinal fluid (CSF); Colony/plate,Birmingham,NA,Yes,https://biogx.com,United States,"Birmingham, United States",33.52285767,-86.80770874
Meningitis,BioinGentech Biotechnology,a2r69000006ShpU,HumPCR N. meningitidis Detection Kit,Chile,Region of the Americas,Molecular,Research Use Only (RUO),None,Neisseria meningitidis,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Purified DNA,Concepción,NA,Yes,https://kitpcr.com,Chile,"Concepción, Chile",-36.82707977,-73.05023956
Meningitis,Genekam,a2r69000006Shpd,"Neisseria meningitidis , Realtime PCR Kit",Germany,European Region,Molecular,Research Use Only (RUO),None,Neisseria meningitidis,Unspecified,RNA + DNA,Unknown,NAT reagent kit (open source),Lab-based,Cerebrospinal fluid (CSF); Colony/plate; Nasal swab; Venous blood,Duisburg,NA,Yes,https://genekam.de,Germany,"Duisburg, Germany",51.43514633,6.76269102
Meningitis,Siemens Healthcare GmbH,a2r69000006Shpc,FTD Bacterial Meningitis,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Haemophilus influenzae; Neisseria meningitidis; Streptococcus pneumoniae,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Cerebrospinal fluid (CSF); Venous blood,Erlangen,NA,Yes,https://siemens-healthineers.com,United States,"Erlangen, United States",39.50357056,-99.01834106
Cholera,DNA-Technology,a2r69000006Shin,Vibrio cholerae PCR Detection Kit,Russian Federation,European Region,Molecular,Research Use Only (RUO),None,Vibrio cholerae,V.cholerae O1,DNA,Unknown,NAT reagent kit (open source),Lab-based,Colony/plate; Other,Moscow,NA,Yes,https://dna-technology.com,Russian Federation,"Moscow, Russian Federation",55.75654221,37.61492157
Meningitis,Vivantis Technologies Sdn Bhd,a2r69000006Shq0,ViPrimePLUS Neisseria meningitidis qPCR Kit,Malaysia,Western Pacific Region,Molecular,Research Use Only (RUO),None,Neisseria meningitidis,Unspecified,DNA,Other,NAT reagent kit (open source),Lab-based,Blood Culture; Cerebrospinal fluid (CSF); Oral swab,Setia Alam,NA,Yes,https://vivantechnologies.com,Malaysia,"Setia Alam, Malaysia",3.09405875,101.45087433
Cholera,Creative Biogene,a2r69000006Shil,Vibrio Cholera O139 Real Time PCR Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Vibrio cholerae,V.cholerae O139,DNA,Unknown,NAT reagent kit (open source),Lab-based,Stool; Other; RETIRE Water (environmental sample),Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Cholera,Creative Biogene,a2r69000006Shij,Vibrio Cholera Real Time PCR Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Vibrio cholerae,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Stool; Other; RETIRE Water (environmental sample),Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Meningitis,TIB Molbiol/Roche Diagnostics,a2r69000006Shpw,LightMix Bacteria Meningitis Panel,Germany,European Region,Molecular,Research Use Only (RUO),None,Haemophilus influenzae; Listeria monocytogenes; Neisseria meningitidis; Streptococcus agalactiae (Group B); Streptococcus pneumoniae,Unspecified,DNA,Other,NAT reagent kit (proprietary platform),Lab-based,Cerebrospinal fluid (CSF),Berlin,NA,Yes,https://tib-molbiol.de,Germany,"Berlin, Germany",52.52342987,13.41143608
Cholera,Creative Biogene,a2r69000006Shik,Vibrio Cholera O1 Real Time PCR Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Vibrio cholerae,V.cholerae O1,DNA,Unknown,NAT reagent kit (open source),Lab-based,Stool; Other; RETIRE Water (environmental sample),Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Meningitis,TIB Molbiol/Roche Diagnostics,a2r69000006Shpx,LightMix Modular Neisseria meningitidis,Germany,European Region,Molecular,Research Use Only (RUO),None,Neisseria meningitidis,Unspecified,DNA,Other,NAT reagent kit (proprietary platform),Lab-based,Cerebrospinal fluid (CSF),Berlin,NA,Yes,https://tib-molbiol.de,Germany,"Berlin, Germany",52.52342987,13.41143608
Cholera,Creative Biogene,a2r69000006Shih,Vibrio cholera CTX gene/O1/O139 Real Time PCR Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Vibrio cholerae,V.cholerae O1; V.cholerae O139,DNA,Cholera CTX gene,NAT reagent kit (open source),Lab-based,Stool; Other; RETIRE Water (environmental sample),Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Cholera,Creative Biogene,a2r69000006Shii,Vibrio Cholera (Gene CTX) Real Time PCR Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Vibrio cholerae,Unspecified,DNA,Cholera CTX gene,NAT reagent kit (open source),Lab-based,Stool; Other; RETIRE Water (environmental sample),Shirley,NA,Yes,https://creative-biogene.com,United States,"Shirley, United States",42.53978729,-71.65859222
Cholera,Genekam,a2r69000006Ship,Vibrio cholerae Realtime PCR Kit 100 reactions,Germany,European Region,Molecular,Research Use Only (RUO),None,Vibrio cholerae,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Purified DNA; Serum; Tissue/Biopsy; Whole Blood; Other; RETIRE Water (environmental sample),Duisburg,NA,Yes,https://genekam.de,Germany,"Duisburg, Germany",51.43514633,6.76269102
Meningitis,Primer Design Ltd,a2r69000006Shpo,Neisseria meningitidis Superoxide dismutase (sodC) gene genesig Advanced Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Neisseria meningitidis,Unspecified,DNA,Other,NAT reagent kit (open source),Lab-based,Unknown,Chandler's Ford,NA,Yes,https://primerdesign.co.uk/home,United States,"Chandler's Ford, United States",50.9879303,-1.37408686
Cholera,CD Genomics,a2r69000006Shid,CD Vibrio Cholerae O139/O1 Detection Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Vibrio cholerae,V.cholerae O1; V.cholerae O139,Unknown,Unknown,NAT reagent kit (open source),Lab-based,Rectal swab; Stool,Shirley,NA,Yes,https://cd-genomics.com,United States,"Shirley, United States",42.53978729,-71.65859222
Meningitis,Primer Design Ltd,a2r69000006Shpn,Neisseria meningitidis Superoxide dismutase (sodC) gene genesig Standard Kit,United States,Region of the Americas,Molecular,Research Use Only (RUO),None,Neisseria meningitidis,Unspecified,RNA + DNA,Other,NAT reagent kit (open source),Lab-based,Stool,Chandler's Ford,NA,Yes,https://primerdesign.co.uk/home,United States,"Chandler's Ford, United States",50.9879303,-1.37408686
Measles,AbNova,a2r69000006Shk9,Measles IgM ELISA kit,Taiwan,Western Pacific Region,Immunoassay,Research Use Only (RUO),None,Measles morbillivirus,Unspecified,Antibody (serological),Anti-MeV IgM,IA Reagent Kit,Lab-based,Plasma; Serum,Taipei,NA,Yes,https://abnova.com,Taiwan,"Taipei, Taiwan",25.03841209,121.56370544
Measles,AbCam,a2r69000006Shk7,Measles Virus IgG ELISA Kit (avidity),United Kingdom,European Region,Immunoassay,Research Use Only (RUO),None,Measles morbillivirus,Unspecified,Antibody (serological),Anti-MeV IgG; Other,IA Reagent Kit,Lab-based,Plasma; Serum,Cambridge,NA,Yes,https://abcam.com,United Kingdom,"Cambridge, United Kingdom",52.20486069,0.1196803
Measles,AbCam,a2r69000006Shk8,Anti-Measles virus IgM Human ELISA Kit,United Kingdom,European Region,Immunoassay,Research Use Only (RUO),None,Measles morbillivirus,Unspecified,Antibody (serological),Anti-MeV IgM,IA Reagent Kit,Lab-based,Plasma; Serum,Cambridge,NA,Yes,https://abcam.com,United Kingdom,"Cambridge, United Kingdom",52.20486069,0.1196803
Measles,Abbexa,a2r69000006Shk5,Human Measles Virus IgM ELISA Kit,United Kingdom,European Region,Immunoassay,Research Use Only (RUO),None,Measles morbillivirus,Unspecified,Antibody (serological),Anti-MeV IgM,IA Reagent Kit,Lab-based,Plasma; Serum; Other,Cambridge,NA,Yes,https://abbexa.com,United Kingdom,"Cambridge, United Kingdom",52.20486069,0.1196803
Measles,AbCam,a2r69000006Shk6,Anti-Measles virus IgG Human ELISA Kit,United Kingdom,European Region,Immunoassay,Research Use Only (RUO),None,Measles morbillivirus,Unspecified,Antibody (serological),Anti-MeV IgG,IA Reagent Kit,Lab-based,Plasma; Serum,Cambridge,NA,Yes,https://abcam.com,United Kingdom,"Cambridge, United Kingdom",52.20486069,0.1196803
