date_of_submission,manufacturer,submission_id,submission_title,country,region,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,other_target_pathogen,permalink,planned_market_entry,primary_use_case,ID_type,disease_target,assay_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,other_readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,other_antimicrobial_resistance_class,Drug_resistance_target,Other Drug resistance target,AST_output,test_format,other_test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,other_validated_sample_type,time_to_results_excl_prep,city,test_to_be_listed_on_finds_web_page,country_tmp,city2,lat,lng
31.03.2023,"Autobio Diagnostics Co., Ltd",a2r69000007ISjM,Enterobacteriaceae AST,China,Western Pacific Region,Regulatory Status Unknown,Unknown,Growth based,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://en.autobio.com.cn,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,Growth/metabolism,Bacteria (Gram-),Enterobacterales,Unknown,Broth microdilution,Colorimetric; Turbidity,NA,Unknown,ESBL,Not applicable,NA,Tigecycline,Cephalosporin/Sulbactam; Cephalosporin/Avibactam; Moxifloxacin,Unknown,Other,Culture media card,A proprietary/new instrument is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,NA,Zhengzhou,Yes,China,"Zhengzhou, China",34.74718857,113.62535095
31.03.2023,DiagCor Life Science Ltd,a2r69000007ISiM,GenoFlowTM STD Array Test Kit,China,Western Pacific Region,Regulatory Achieved,CE-IVDD,Molecular,ID,Sexually Transmitted Infections,Ureaplasma urealyticum; Ureaplasma parvum; Mycoplasma hominis; Herpes Simplex Virus 1; Herpes Simplex Virus 2; HPV,https://diagcorlifescience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,RNA + DNA,Bacteria (Gram-); Parasite; Virus; Other,Chlamydia trachomatis; Mycoplasma genitalium; Neisseria gonorrhoeae; Other; Trichomonas vaginalis,Unknown,Hybridization,Unspecified,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Cervical swab; Urethral swab; Urine; Vaginal swab; Other,Cytology brush; liquid based cytology specimen,180,Hong Kong,Yes,China,"Hong Kong, China",22.42118263,114.16609955
31.03.2023,"Novel Microdevices, Inc.",a2r69000007ISjt,Novel DX CT/NG,United States,Region of the Americas,Early Stage Development (partial prototype),None,Molecular,ID-Resistance,Sexually Transmitted Infections,NA,https://noveldx.com,Unspecified Market Entry,Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Chlamydia trachomatis; Neisseria gonorrhoeae,Unknown,qPCR,Unspecified,NA,Unknown,Unknown,Unknown,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Unknown,True Point of Care,Intended for professional use only,Urine; Vaginal swab,NA,25,Baltimore,Yes,United States,"Baltimore, United States",39.29044342,-76.61233521
31.03.2023,"optiBio Co., ltd.",a2r69000007ISl6,OPTICAL Q PCT,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,Host Response,Inflammation,NA,https://optibio.co.kr,Already on the market (commercialized),Triage/Screening,Not applicable,Sepsis,Antigen,Not applicable,Not applicable,Procalcitonin,Lateral Flow Assay,Fluorescence,NA,Quantitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is required,Manual,near Point of Care,Intended for professional use only,Plasma; Serum,NA,15,Cheongju-si,Yes,South Korea,"Cheongju-si, Korea, Republic of",36.64389801,127.50119781
31.03.2023,"Humasis Co., Ltd.",a2r69000007ISiL,Humasis Chlamydia Test,"Korea, Republic of",Western Pacific Region,Regulatory Status Unknown,Unknown,Immunoassay,ID,Sexually Transmitted Infections,NA,https://humasis.com/en,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Chlamydia trachomatis,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Endocervical swab,NA,35,Anyang-si,Yes,South Korea,"Anyang-si, Korea, Republic of",37.39424896,126.9205246
31.03.2023,Meep,a2r69000007ISjs,Meep CT/NG,Belgium,European Region,Early Stage Development (partial prototype),None,Immunoassay,ID,Sexually Transmitted Infections,NA,https://meep.bio,Unspecified Market Entry,Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Chlamydia trachomatis; Neisseria gonorrhoeae,Unknown,Lateral Flow Assay,Unspecified,NA,Unknown,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Manual,True Point of Care,Intended for self-collection (kit available),Unknown,NA,NA,Ghent,Yes,Belgium,"Ghent, Belgium",51.05381775,3.72227168
31.03.2023,"Humasis Co., Ltd.",a2r69000007ISl5,HUBI IL-6,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,Host Response,Inflammation,NA,https://humasis.com/en,Already on the market (commercialized),Triage/Screening,Not applicable,Unspecified,Antigen,Not applicable,Not applicable,Interleukin-6,Lateral Flow Assay,Colorimetric,NA,Quantitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is required,Manual,near Point of Care,Intended for professional use only,Plasma; Serum; Venous blood,NA,15,Anyang-si,Yes,South Korea,"Anyang-si, Korea, Republic of",37.39424896,126.9205246
31.03.2023,Citest Diagnostics Inc.,a2r69000007IShc,Streptococcus Pneumoniae Legionella Pneumophila Test Infectious Disease Test Kit,Canada,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,CNS Infections; Lower Respiratory Tract Infections,NA,https://citestdiagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram+); Bacteria (Gram-),Legionella pneumophila; Streptococcus pneumoniae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urine,NA,10,Vancouver,Yes,Canada,"Vancouver, Canada",49.26356506,-123.13857269
31.03.2023,bioMérieux,a2r69000007IShb,API NH kit,France,European Region,Regulatory Status Unknown,Unknown,Chemical/Biochemical,ID,CNS Infections,Haemophilus parainfluenzae; Moraxella catarrhalis,https://biomerieux-diagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Growth/metabolism,Bacteria (Gram-),Haemophilus influenzae; Neisseria meningitidis; Other,Unknown,Enzymatic assays,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Other,Tray,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Other,Bacterial Culture from CSF,NA,Marcy l'Etoile,Yes,France,"Marcy l'Etoile, France",45.78102875,4.70581245
31.03.2023,Cepheid,a2r69000007IShd,Xpert EV,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; US FDA De Novo,Molecular,ID,CNS Infections,NA,https://cepheid.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Meningitis; Meningoencephalitis,RNA,Virus,Enterovirus,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Cerebrospinal fluid (CSF),NA,150,Sunnyvale,Yes,United States,"Sunnyvale, United States",37.3736763,-122.03657532
31.03.2023,"Nanjing Liming Bio-products Co., Ltd.",a2r69000007IShg,Cryptococcal Antigen Rapid Test Device,China,Western Pacific Region,Regulatory Status Unknown,Unknown,Immunoassay,ID,CNS Infections,NA,https://limingbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Fungi,Cryptococcus gattii; Cryptococcus neoformans,Unknown,Lateral Flow Assay,Colorimetric,NA,Semi-quantitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Cerebrospinal fluid (CSF); Plasma; Serum; Venous blood,NA,10,Nanjing,Yes,China,"Nanjing, China",32.05852509,118.7964859
31.03.2023,Bruker Corporation,a2r69000007ISil,MICRONAUT-S Anaerobes MIC,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,Clostridium spp; Bacteroides spp; Peptostreptococcus spp,https://bruker.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,Growth/metabolism,Bacteria (Gram+); Bacteria (Gram-),Other,Unknown,Broth microdilution,Colorimetric; Turbidity,NA,Unknown,Not applicable,Not applicable,NA,Ampicillin; Benzylpenicillin; Clindamycin; Ertapenem; Imipenem; Meropenem; Piperacilin/Tazobactam; Tigecycline; Vancomycin; Other,Amoxicillin/Clavulanate; Doxycycline; Metronidazole; Moxifloxacin,Unknown,Other,Culture media plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,2880,Billerica,Yes,United States,"Billerica, United States",42.56367111,-71.27111816
31.03.2023,Biosynex SA,a2r69000007IShh,BIOSYNEX CryptoPS,France,European Region,Regulatory Achieved,Brazil ANVISA; CE-IVDD,Immunoassay,ID,CNS Infections,Cryptococcus spp,https://biosynex.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Fungi,Other,Unknown,Lateral Flow Assay,Colorimetric,NA,Semi-quantitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Cerebrospinal fluid (CSF); Plasma; Serum; Venous blood,NA,NA,ILLKIRCH-GRAFFENSTADEN,Yes,France,"ILLKIRCH-GRAFFENSTADEN, France",48.52934265,7.71107864
31.03.2023,Bruker Corporation,a2r69000007ISin,MICRONAUT-S MRSA/GP,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,Staphylococci; Enterococci; Pnemococci,https://bruker.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,Growth/metabolism,Bacteria (Gram+),Other,Unknown,Broth microdilution,Colorimetric; Turbidity,NA,Unknown,MRSA,Not applicable,NA,Ampicillin; Cefotaxime; Cefoxitin; Clindamycin; Erythromycin; Gentamicin; Oxacillin; Penicillin; Vancomycin; Other,Ceftaroline; Ceftaroline; Linezolid; Tigecycline; Daptomycin; Teicoplanin; Streptomycin; Moxifloxacin,Unknown,Other,Culture media plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,1440,Billerica,Yes,United States,"Billerica, United States",42.56367111,-71.27111816
31.03.2023,Bruker Corporation,a2r69000007ISim,MICRONAUT-S MDR MRGN Screening,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,Enterobacteria; Aeromonas; Aeromonadaceae; Pseudomonadaceae,https://bruker.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,Growth/metabolism,Bacteria (Gram-),Enterobacterales; Other,Unknown,Broth microdilution,Colorimetric; Turbidity,NA,Unknown,Not applicable,Not applicable,NA,Ceftazidime; Colistin; Fosfomycin; Meropenem; Other,Ceftazidime-avibactam; Ceftolozane-tazobactam; Temocillin,Unknown,Other,Culture media plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,NA,Billerica,Yes,United States,"Billerica, United States",42.56367111,-71.27111816
31.03.2023,"Bio-Rad Laboratories, Inc.",a2r69000007ISio,PCR|ONE MRSA/MSSA panel,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Molecular,ID-Resistance,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://bio-rad.com,Unknown,Diagnostic/confirmatory test,Identification,Sepsis,DNA,Bacteria (Gram+),Staphylococcus aureus,Unknown,qPCR,Fluorescence,NA,Unknown,MRSA,Unknown,NA,Not applicable,NA,Not applicable,Unspecified,NA,A proprietary/new instrument is required,Unknown,Lab-based,Intended for professional use only,Unknown,NA,20,Hercules,Yes,United States,"Hercules, United States",38.00691223,-122.26192474
31.03.2023,GeneFluidics,a2r69000007ISiq,NicuMax GN ID/AST,United States,Region of the Americas,Research Use Only (RUO),None,Molecular,ID-Phenotypic AST,Bloodstream Infections,NA,https://genefluidics.com,Unspecified Market Entry,Diagnostic/confirmatory test,Presumptive identification,Sepsis,RNA,Unspecified,Unknown,Unknown,Hybridization,Electric signal,NA,Unknown,Not applicable,Not applicable,NA,Unknown,NA,MIC,Unspecified,NA,A proprietary/new instrument is required,Unknown,Lab-based,Intended for professional use only,Venous blood,NA,NA,"Irwindale/Duarte,",Yes,United States,"Irwindale/Duarte,, United States",34.10377502,-117.9336319
31.03.2023,GeneFluidics,a2r69000007ISip,BsiMax GN ID/AST,United States,Region of the Americas,Research Use Only (RUO),None,Molecular,ID-Phenotypic AST,Bloodstream Infections,Enterococcus spp; Staphylococcus epidermidis,https://genefluidics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Sepsis,RNA,Bacteria (Gram+); Bacteria (Gram-),Citrobacter freundii; Enterobacter cloacae complex; Escherichia coli; Klebsiella aerogenes; Klebsiella oxytoca; Klebsiella pneumoniae; Morganella morganii; Other; Proteus mirabilis; Pseudomonas aeruginosa; Serratia marcescens; Staphylococcus aureus; Streptococcus agalactiae (Group B),Unknown,Hybridization,Electric signal,NA,Unknown,Not applicable,Not applicable,NA,Ampicillin; Cefepime; Ceftriaxone; Ciprofloxacin; Gentamicin; Meropenem; Piperacilin/Tazobactam,NA,MIC,Unspecified,NA,A proprietary/new instrument is required,Unknown,Lab-based,Intended for professional use only,Venous blood,NA,360,"Irwindale/Duarte,",Yes,United States,"Irwindale/Duarte,, United States",34.10377502,-117.9336319
31.03.2023,Bruker Corporation,a2r69000007ISik,MICRONAUT-AM Antifungal Agents MIC,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; Other,Growth based,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,Cryptococci,https://bruker.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,Growth/metabolism,Fungi,Other,Unknown,Broth microdilution,Colorimetric; Turbidity,NA,Unknown,Not applicable,Not applicable,NA,Other,Amphotericin B; 5-Fluorocytosin; Anidulafungin; Caspofungin; Micafungin; Fluconazole; Itraconazole; Posaconazole; Voriconazole,Unknown,Other,Culture media plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,4320,Billerica,Yes,United States,"Billerica, United States",42.56367111,-71.27111816
31.03.2023,Karius Inc.,a2r69000007ISit,Karius Test,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Sequencing,ID-Resistance,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,HSV-1; HSV-2; HPV,https://kariusdx.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Sepsis,DNA,Bacteria (Gram+); Bacteria (Gram-); Mycobacteria; Fungi; Parasite; Virus,Acinetobacter baumannii; Bordetella pertussis; Campylobacter jejuni; Candida albicans; Candida auris; Candida glabrata; Candida krusei; Candida parapsilosis; Candida tropicalis; Chlamydia pneumoniae; Chlamydia trachomatis; Citrobacter freundii; Citrobacter koseri; Clostridioides difficile; Cowpox virus; Cryptococcus gattii; Cryptococcus neoformans; Enterobacter cloacae complex; Enterococcus faecalis; Enterococcus faecium; Escherichia coli; Haemophilus influenzae; Helicobacter pylori; Klebsiella aerogenes; Klebsiella oxytoca; Klebsiella pneumoniae; Legionella pneumophila; Leishmania parasites; Listeria monocytogenes; Morganella morganii; Mycobacterium Tuberculosis Complex Species; Mycoplasma genitalium; Neisseria gonorrhoeae; Neisseria meningitidis; Other; Plasmodium Falciparum; Plasmodium Knowlesi; Plasmodium Malariae; Plasmodium Ovale; Plasmodium Vivax; Proteus mirabilis; Pseudomonas aeruginosa; Schistosoma mansoni; Serratia marcescens; Staphylococcus aureus; Stenotrophomonas maltophilia; Streptococcus agalactiae (Group B); Streptococcus pneumoniae; Streptococcus pyogenes (Group A); Taenia solium; Trypanosoma brucei; Trypanosoma cruzi; Variola virus; Vibrio cholerae,Unknown,Unspecified,Unspecified,NA,Unknown,MRSA,SCCmec,NA,Not applicable,NA,Not applicable,Unspecified,NA,A proprietary/new instrument is required,Unknown,Laboratory-developed test,Intended for professional use only,Plasma,NA,NA,Redwood City,Yes,United States,"Redwood City, United States",37.48049927,-122.21527863
31.03.2023,DNA Electronics,a2r69000007ISis,LiDia-SEQ,United Kingdom,European Region,Research Use Only (RUO),None,Sequencing,ID-Prediction AST,Bloodstream Infections,NA,https://dnae.com,Unspecified Market Entry,Diagnostic/confirmatory test,Identification,Sepsis,DNA,Bacteria (Gram+); Bacteria (Gram-); Fungi,Unknown,Unknown,Unspecified,Electric signal,NA,Qualitative,Not applicable,Not applicable,NA,Unknown,NA,Unknown,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Venous blood,NA,240,London,Yes,United Kingdom,"London, United Kingdom",51.50740814,-0.12772401
31.03.2023,Lightdeck,a2r69000007ISkx,Host Response,United States,Region of the Americas,Early Stage Development (partial prototype),None,Immunoassay,Host Response,Inflammation,NA,https://lightdeckdx.com,Unspecified Market Entry,Triage/Screening,Not applicable,Sepsis,Antigen,Not applicable,Not applicable,Unknown,Lateral Flow Assay,Fluorescence,NA,Quantitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Unknown,NA,5,Boulder,Yes,United States,"Boulder, United States",40.01687241,-105.27962494
31.03.2023,Quanterix,a2r69000007ISkw,Simoa CRP,United States,Region of the Americas,Research Use Only (RUO),None,Immunoassay,Host Response,Inflammation,NA,https://quanterix.com,Unspecified Market Entry,Triage/Screening,Not applicable,Unspecified,Antigen,Not applicable,Not applicable,C-reactive protein,ELISA/EIA,Fluorescence,NA,Unknown,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Unspecified,NA,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Unknown,NA,NA,Lexington,Yes,United States,"Lexington, United States",38.0463562,-84.49702454
31.03.2023,Global Access Diagnostics (GADx),a2r69000007ISkz,SepsisDx,United Kingdom,European Region,Early Stage Development (partial prototype),None,Immunoassay,Host Response,Inflammation,NA,https://globalaccessdx.com,Unspecified Market Entry,Triage/Screening,Not applicable,Sepsis,Antigen,Not applicable,Not applicable,Unknown,Unspecified,Unspecified,NA,Unknown,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Unspecified,NA,Unknown,Unknown,True Point of Care,Intended for professional use only,Venous blood,NA,NA,Thurleigh,Yes,United Kingdom,"Thurleigh, United Kingdom",52.2147789,-0.45871189
31.03.2023,Meep,a2r69000007ISky,Meep CRP,Belgium,European Region,Early Stage Development (partial prototype),None,Immunoassay,Host Response,Inflammation,NA,https://meep.bio,Unspecified Market Entry,Triage/Screening,Not applicable,Unspecified,Antigen,Not applicable,Not applicable,C-reactive protein,Lateral Flow Assay; Surface Plasmon Resonance (SPR),Unspecified,NA,Unknown,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Manual,True Point of Care,Intended for professional use only,Unknown,NA,NA,Ghent,Yes,Belgium,"Ghent, Belgium",51.05381775,3.72227168
31.03.2023,Inflammatix,a2r69000007ISl0,BacVerity,United States,Region of the Americas,Early Stage Development (partial prototype),None,Molecular,Host Response,Inflammation,NA,https://inflammatix.com,Unspecified Market Entry,Triage/Screening,Not applicable,Unspecified,mRNA,Not applicable,Not applicable,Other,Unspecified,Unspecified,NA,Unknown,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Unspecified,NA,A proprietary/new instrument is required,Unknown,Lab-based,Intended for professional use only,Finger prick blood,NA,30,Burlingame,Yes,United States,"Burlingame, United States",37.58419418,-122.36626434
31.03.2023,"Sugentech, Inc.",a2r69000007ISkU,INCLIX PCT,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,Host Response,Inflammation,NA,https://sugentech.com,Already on the market (commercialized),Triage/Screening,Not applicable,Sepsis,Antigen,Not applicable,Not applicable,Procalcitonin,Lateral Flow Assay,Colorimetric,NA,Quantitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is required,Manual,True Point of Care,Intended for professional use only,Plasma; Serum,NA,NA,Cheongju-si,Yes,South Korea,"Cheongju-si, Korea, Republic of",36.64389801,127.50119781
31.03.2023,Biomeme Inc,a2r69000007ISl3,Host Response Test (HR-B/V),United States,Region of the Americas,Late Stage Development (fully functional prototype),None,Molecular,Host Response,Inflammation,NA,https://biomeme.com,Unspecified Market Entry,Triage/Screening,Not applicable,Unspecified,mRNA,Not applicable,Not applicable,Unknown,qPCR,Unspecified,NA,Unknown,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Unspecified,NA,A proprietary/new instrument is required,Unknown,near Point of Care,Intended for professional use only,Venous blood,NA,NA,Philadelphia,Yes,United States,"Philadelphia, United States",39.95106125,-75.1656189
31.03.2023,Science with a Mission Inc.,a2r69000007ISjd,Gonorrhea Test Cassette (Urine/Swab),United States,Region of the Americas,Research Use Only (RUO),None,Immunoassay,ID,Sexually Transmitted Infections,NA,https://sciencewithamission.org,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Neisseria gonorrhoeae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Urethral swab; Urine; Vaginal swab,NA,20,Sharon,Yes,United States,"Sharon, United States",42.12367249,-71.17893219
31.03.2023,"Module Innovations Private Limited, India",a2r69000007ISlp,ASTSense,India,South-East Asian Region,Early Stage Development (partial prototype),None,Growth based,Phenotypic AST,Urinary Tract Infections,NA,https://moduleinnovations.com,Unspecified Market Entry,Diagnostic/confirmatory test,Not applicable,Unspecified,Growth/metabolism,Not applicable,Not applicable,Unknown,Unspecified,Unspecified,NA,Unknown,Not applicable,Not applicable,NA,Unknown,NA,Unknown,Unspecified,NA,A proprietary/new instrument is required,Unknown,near Point of Care,NA,Urine,NA,120,Pune,Yes,India,"Pune, India",18.52890396,73.8743515
31.03.2023,PremaLabs Diagnostics Ltd,a2r69000007ISnJ,CRP Test Kit,United Kingdom,European Region,Regulatory Status Unknown,Unknown,Immunoassay,Host Response,Inflammation,NA,https://premalabsdiagnostics.com,Already on the market (commercialized),Triage/Screening,Not applicable,Unspecified,Antigen,Not applicable,Not applicable,C-reactive protein,Lateral Flow Assay,Fluorescence,NA,Quantitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is required,Manual,True Point of Care,Intended for professional use only,Unknown,NA,3,London,Yes,United Kingdom,"London, United Kingdom",51.50740814,-0.12772401
31.03.2023,Healgen Scientific LLC.,a2r69000007ISjc,Gonorrhea Antigen Rapid Detection Kit,China,Western Pacific Region,Regulatory Achieved,Unknown,Immunoassay,ID,Sexually Transmitted Infections,NA,https://healgen.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Neisseria gonorrhoeae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Cervical swab; Urethral swab,NA,10,Houston,Yes,China,"Houston, China",36.55937195,103.7533493
31.03.2023,"Spectral Platforms, Inc.",a2r69000007ISlo,UroFAST pathogen ID/AST,United States,Region of the Americas,Research Use Only (RUO),None,Growth based; Chemical/Biochemical,ID-Phenotypic AST,Urinary Tract Infections,NA,https://spectralplatforms.com,Unspecified Market Entry,Diagnostic/confirmatory test,Presumptive identification,Unspecified,Growth/metabolism,Unspecified,Unknown,Unknown,Enzymatic assays; Other,Turbidity,NA,Quantitative,Not applicable,Not applicable,NA,Unknown,NA,Unknown,Other,Agar media plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Urine,NA,480,Duarte,Yes,United States,"Duarte, United States",34.14327621,-117.97319031
31.03.2023,Clemedi AG,a2r69000007ISnI,Clemedi STI,Switzerland,European Region,Early Stage Development (partial prototype),None,Sequencing,ID-Prediction AST,Sexually Transmitted Infections,NA,https://clemedi.com,Unspecified Market Entry,Diagnostic/confirmatory test,Unknown,Unspecified,DNA,Unspecified,Unknown,Unknown,Unspecified,Unspecified,NA,Unknown,Not applicable,Not applicable,NA,Unknown,NA,Unknown,Unspecified,NA,Unknown,Unknown,Lab-based,Intended for professional use only,Unknown,NA,NA,Schlieren,Yes,Switzerland,"Schlieren, Switzerland",47.40000153,8.44999981
31.03.2023,Savyon Diagnostics,a2r69000007ISjf,SavvyCheck Vaginal Yeast Test (POC),Israel,European Region,Regulatory Achieved,Brazil ANVISA; CE-IVDD; Other,Immunoassay,ID,Sexually Transmitted Infections,NA,https://savyondx.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Fungi,Candida spp,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Cervical swab,NA,10,Ashdod,Yes,Israel,"Ashdod, Israel",31.7977314,34.65299225
