"Test Directory Package ID","Assay: Company/Institution Name: Organisation Name","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Region","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country of Manufacturer","Assay: Created Date","Assay: Assay ID","Assay: Assay Name","Instrument: Instrument Name","Assay: Product Website","Assay: Stage of Development","Assay: Planned Market Entry","Assay: Regulatory Approval","Assay: Primary Use Case","Assay: Syndromes","Assay: Disease Target","Assay: Assay Aim","Assay: ID type","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Other Target Analyte","Assay: Target Pathogen","Assay: Other target pathogen","Assay: Target Organism Classes","Assay: Type of Technology","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Other Readout Technology","Assay: Qualitative or Quantitative","Assay: Resistance Marker","Assay: Other resistance marker","Assay: Antimicrobial Resistance Class","Assay: Other Antimicrobial Resistance Class","Assay: Drug Resistance Target","Assay: Other drug resistance target","Assay: AST Output","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: End user profile (training level)","Assay: Lab vs. POC","Assay: Health Level","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Assay: Confidentiality Level","Assay: Comments","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region"
"a2v69000004CibI","Lightdeck","lightdeckdx.com","Americas","Boulder","United States","31.03.2023","a2r69000007ISkx","Host Response","","lightdeckdx.com/host-response/","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Triage/Screening","Inflammation","Sepsis","Host Response","Not applicable","Antigen","C-reactive protein; Interleukin-6; Other; Procalcitonin","IP-10","Not applicable","","Not applicable","Immunoassay","Lateral Flow Assay","","Fluorescence","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Trained staff in health care facilities","near Point of Care","L2: District Hospital Lab","Intended for professional use only","Venous blood","","30.00","Yes","","acquired by Heska in 2022, no sign of product on Heska's website","United States","Region of the Americas"
"a2v69000004CibH","Quanterix","quanterix.com","Americas","Lexington","United States","31.03.2023","a2r69000007ISkw","Simoa CRP","","quanterix.com/simoa-assay-kits/crp/","Research Use Only (RUO)","Unspecified Market Entry","None","Triage/Screening","Inflammation","Unspecified","Host Response","Not applicable","Antigen","C-reactive protein","","Not applicable","","Not applicable","Immunoassay","ELISA/EIA","","Fluorescence","","Unknown","Not applicable","","Not applicable","","Not applicable","","Not applicable","Unspecified","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Laboratory Technician","Lab-based","","Intended for professional use only","Unknown","","","Yes","","","United States","Region of the Americas"
"a2v69000004CibK","Global Access Diagnostics (GADx)","globalaccessdx.com","Europe","Thurleigh","United Kingdom","31.03.2023","a2r69000007ISkz","SepsisDx","","globalaccessdx.com/infectious-diseases#FooterForm","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Triage/Screening","Inflammation","Sepsis","Host Response","Not applicable","Antigen","Unknown","","Not applicable","","Not applicable","Immunoassay","Unspecified","","Unspecified","","Unknown","Not applicable","","Not applicable","","Not applicable","","Not applicable","Unspecified","","Unknown","Unknown","Trained staff in health care facilities","True Point of Care","L1: Primary Care","Intended for professional use only","Venous blood","","","Yes","","No info since 2019 other than website text: press release says 6 biomarker panel; https://www.360dx.com/infectious-disease/mologic-developing-sepsis-test-using-multimarker-lateral-flow-technology","United Kingdom","European Region"
"a2v69000004CibJ","Meep","meep.bio","Europe","Ghent","Belgium","31.03.2023","a2r69000007ISky","Meep CRP","","meep.bio/our-products","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Triage/Screening","Inflammation","Unspecified","Host Response","Not applicable","Antigen","C-reactive protein","","Not applicable","","Not applicable","Immunoassay","Lateral Flow Assay; Surface Plasmon Resonance (SPR)","","Unspecified","","Unknown","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Unknown","","","Yes","","","Belgium","European Region"
"a2v69000004CibL","Inflammatix","inflammatix.com","Americas","Burlingame","United States","31.03.2023","a2r69000007ISl0","BacVerity","","inflammatix.com/inflammatix-tests/#bacverity","Late Stage Development (fully functional prototype)","Unspecified Market Entry","None","Triage/Screening","Fever and Febrile Illness","Unspecified","Host Response","Not applicable","mRNA","Other","IFI27; JUP; LAX1; CTSB; HK3; TNIP1; GPAA1","Not applicable","","Not applicable","Molecular","Isothermal LAMP","","Unspecified","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Trained staff in health care facilities","near Point of Care","L2: District Hospital Lab","Intended for professional use only","Finger prick blood","","30.00","Yes","","https://onlinelibrary.wiley.com/doi/full/10.1111/eci.13626#new_tab","United States","Region of the Americas"
"a2v69000004Cic0","Sugentech, Inc.","sugentech.com","Western Pacific","Sejong-si","Korea, Republic of","31.03.2023","a2r69000007ISkU","INCLIX PCT","","sugentech.com/en/sub/product/detail.php?idx=44&cat_name=Point-of-Care+Test","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Triage/Screening","Inflammation","Sepsis","Host Response","Not applicable","Antigen","Procalcitonin","","Not applicable","","Not applicable","Immunoassay","Lateral Flow Assay","","Colorimetric","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Plasma; Serum","","","Yes","","INCLIX F-100 reader in process for CE-IVDR","Korea, Republic of","Western Pacific Region"
"a2v69000004CibO","Biomeme Inc","biomeme.com","Americas","Philadelphia","United States","31.03.2023","a2r69000007ISl3","Host Response Test (HR-B/V)","Biomeme Franklin Thermocycler","https://biomeme.com/applications/host-response","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Triage/Screening","Fever and Febrile Illness; Inflammation; Lower Respiratory Tract Infections; Upper Respiratory Tract Infections; Urinary Tract Infections","Unspecified","Host Response","Not applicable","mRNA","Other","23 mRNAs","Not applicable","","Not applicable","Molecular","qPCR","","Unspecified","","Unknown","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Trained staff in health care facilities","near Point of Care","L2: District Hospital Lab","Intended for professional use only","Venous blood","","30.00","Yes","","https://pubmed.ncbi.nlm.nih.gov/33462581/","United States","Region of the Americas"
"a2v69000004Cie4","Science with a Mission Inc.","sciencewithamission.org","Americas","Sharon","United States","31.03.2023","a2r69000007ISjd","Gonorrhea Test Cassette (Urine/Swab)","","sciencewithamission.org/diagnostics","Research Use Only (RUO)","Already on the market (commercialized)","None","Diagnostic/confirmatory test","Sexually Transmitted Infections","Unspecified","ID","Identification","Antigen","Unknown","","Neisseria gonorrhoeae","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urethral swab; Urine; Vaginal swab","","20.00","Yes","","","United States","Region of the Americas"
"a2v69000004CidS","Module Innovations Private Limited, India","moduleinnovations.com","South-East Asia","Pune","India","31.03.2023","a2r69000007ISlp","ASTSense","","moduleinnovations.com/?page_id=177","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Diagnostic/confirmatory test","Urinary Tract Infections","Unspecified","Phenotypic AST","Not applicable","Growth/metabolism","Unknown","","Not applicable","","Not applicable","Growth based","Unspecified","","Unspecified","","Unknown","Not applicable","","Not applicable","","Unknown","","Unknown","Unspecified","","A proprietary/new instrument is required","Unknown","","near Point of Care","","","Urine","","120.00","Yes","","https://carb-x.org/carb-x-news/carb-x-funds-module-innovations-to-develop-a-simple-test-to-diagnose-urinary-tract-infections-uti-and-identify-superbugs-causing-the-infection-within-2-hours/","India","South-East Asian Region"
"a2v69000004Cicr","PremaLabs Diagnostics Ltd","premalabsdiagnostics.com","Europe","London","United Kingdom","31.03.2023","a2r69000007ISnJ","CRP Test Kit","","premalabsdiagnostics.com/crp-test-kit/","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Inflammation","Unspecified","Host Response","Not applicable","Antigen","C-reactive protein","","Not applicable","","Not applicable","Immunoassay","Lateral Flow Assay","","Fluorescence","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Unknown","","3.00","Yes","","","United Kingdom","European Region"
"a2v69000004Cie3","Healgen Scientific LLC.","healgen.com","Americas","Houston","United States","31.03.2023","a2r69000007ISjc","Gonorrhea Antigen Rapid Detection Kit","","healgen.com/if-st-gonorrhea","Regulatory Achieved","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Sexually Transmitted Infections","Unspecified","ID","Identification","Antigen","Unknown","","Neisseria gonorrhoeae","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Cervical swab; Urethral swab","","10.00","Yes","","","China","Western Pacific Region"
"a2v69000004CidR","Spectral Platforms, Inc.","spectralplatforms.com","Americas","Duarte","United States","31.03.2023","a2r69000007ISlo","UroFAST pathogen ID/AST","","spectralplatforms.com/technology/urofast/","Research Use Only (RUO)","Unspecified Market Entry","None","Diagnostic/confirmatory test","Urinary Tract Infections","Unspecified","ID-Phenotypic AST","Presumptive identification","Growth/metabolism","Unknown","","Unknown","","Unspecified","Growth based; Chemical/Biochemical","Enzymatic assays; Other","Disk diffusion","Turbidity","","Quantitative","Not applicable","","Not applicable","","Unknown","","Unknown","Other","Agar media plate","Standard lab instrumentation is required","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Urine","","480.00","Yes","","no news since 2020","United States","Region of the Americas"
"a2v69000004Cicq","Clemedi AG","clemedi.com","Europe","Schlieren","Switzerland","31.03.2023","a2r69000007ISnI","Clemedi STI","","https://clemedi.com/products2/sti/","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Diagnostic/confirmatory test","Sexually Transmitted Infections","Unspecified","ID-Prediction AST","Unknown","DNA","Unknown","","Unknown","","Unspecified","Sequencing","Unspecified","","Unspecified","","Unknown","Not applicable","","Not applicable","","Unknown","","Unknown","Unspecified","","Unknown","Unknown","Laboratory Technician","Lab-based","Unknown","Intended for professional use only","Unknown","","","Yes","","13 pathogen multiplex IVD","Switzerland","European Region"
"a2v69000004Cie6","Savyon Diagnostics","savyondx.com","Europe","Ashdod","Israel","31.03.2023","a2r69000007ISjf","SavvyCheck Vaginal Yeast Test (POC)","","savyondiagnostics.com/product/savvycheck-vaginal-yeast-test/","Regulatory Achieved","Already on the market (commercialized)","Brazil ANVISA; CE-IVDD; Israel Ministry of Health","Diagnostic/confirmatory test","Sexually Transmitted Infections","Candidiasis","ID","Identification","Antigen","Unknown","","Candida spp","","Fungi","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Self-administered","True Point of Care","","Intended for self-testing (version available)","Cervical swab","","10.00","Yes","","","Israel","European Region"
"a2v69000004CidU","Bosch Healthcare Solutions GmbH","bosch-healthcare.com","Europe","Waiblingen","Germany","31.03.2023","a2r69000007ISlr","Vivalytic UTI","Vivalytic System","randox.com/urinary-tract-infection/","Research Use Only (RUO)","Already on the market (commercialized)","None","Diagnostic/confirmatory test","Urinary Tract Infections","Candidiasis","ID-AMR","Identification","DNA","Unknown","","Acinetobacter baumannii; Candida albicans; Citrobacter freundii; Citrobacter koseri; Enterobacter cloacae complex; Enterococcus faecalis; Enterococcus faecium; Escherichia coli; Klebsiella aerogenes; Klebsiella oxytoca; Klebsiella pneumoniae; Morganella morganii; Other; Proteus spp; Pseudomonas aeruginosa; Serratia marcescens; Staphylococcus aureus; Streptococcus agalactiae (Group B)","Staphylococcus saprophyticus; Staphylococcus epidermidis; Providencia stuartii; Providencia rettgeri","Bacteria (Gram+); Bacteria (Gram-); Fungi","Molecular","qPCR","","Chemiluminescence","","Qualitative","mecA; Other; vanA; vanB","Trimethoprim Resistance 1; Trimethoprim Resistance 2; Trimethoprim Resistance 3; Trimethoprim Resistance 4; Trimethoprim Resistance 5","MRSA; VRE; Other","Trimethoprim Resistance","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Laboratory Technician","near Point of Care","","Intended for professional use only","Urine","","240.00","Yes","","","Germany","European Region"
"a2v69000004Cict","PremaLabs Diagnostics Ltd","premalabsdiagnostics.com","Europe","London","United Kingdom","31.03.2023","a2r69000007ISnL","PCT/CRP Test Kit","","premalabsdiagnostics.com/pct-crp-test-kit/","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Inflammation","Sepsis","Host Response","Not applicable","Antigen","C-reactive protein; Procalcitonin","","Not applicable","","Not applicable","Immunoassay","Lateral Flow Assay","","Fluorescence","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Unknown","","15.00","Yes","","","United Kingdom","European Region"
"a2v69000004Cie5","Science with a Mission Inc.","sciencewithamission.org","Americas","Sharon","United States","31.03.2023","a2r69000007ISje","Chlamydia Test Cassette (Swab)","","sciencewithamission.org/diagnostics","Research Use Only (RUO)","Already on the market (commercialized)","None","Diagnostic/confirmatory test","Sexually Transmitted Infections","Unspecified","ID","Identification","Antigen","Unknown","","Chlamydia trachomatis","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Endocervical swab; Urethral swab","","20.00","Yes","","","United States","Region of the Americas"
"a2v69000004CidT","Module Innovations Private Limited, India","moduleinnovations.com","South-East Asia","Pune","India","31.03.2023","a2r69000007ISlq","USENSe","","moduleinnovations.com/?page_id=177","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Diagnostic/confirmatory test","Urinary Tract Infections","Unspecified","ID","Unknown","Unknown","Unknown","","Escherichia coli; Klebsiella spp; Other; Staphylococcus aureus","","Unspecified","Immunoassay","Lateral Flow Assay","","Colorimetric","","Unknown","Not applicable","","Not applicable","","Not applicable","","Not applicable","Unspecified","","Unknown","Unknown","","True Point of Care","","","Urine","","15.00","Yes","","https://trends.medicalexpo.com/project-443967.html","India","South-East Asian Region"
"a2v69000004Cics","PremaLabs Diagnostics Ltd","premalabsdiagnostics.com","Europe","London","United Kingdom","31.03.2023","a2r69000007ISnK","PCT Test Kit","","premalabsdiagnostics.com/pct-test-kit/","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Inflammation","Sepsis","Host Response","Not applicable","Antigen","Procalcitonin","","Not applicable","","Not applicable","Immunoassay","Lateral Flow Assay","","Fluorescence","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Unknown","","10.00","Yes","","","United Kingdom","European Region"
"a2v69000004Cie8","BioAmp Diagnostics","bioampdx.com","Americas","San Carlos","United States","31.03.2023","a2r69000007ISlv","DETECT","","bioampdx.com","Regulatory Status Unknown","Unspecified Market Entry","None","Diagnostic/confirmatory test","Urinary Tract Infections","Unspecified","AMR","Not applicable","Growth/metabolism","Unknown","","Not applicable","","Not applicable","Chemical/Biochemical","Enzymatic assays","","Colorimetric","","Qualitative","Unknown","","ESBL","","Not applicable","","Not applicable","Unspecified","","Unknown","Manual","","Lab-based","","","Unknown","","","Yes","","","United States","Region of the Americas"
"a2v69000004Cicv","ViroGates A/S","virogates.com","Europe","Birkeroed","Denmark","31.03.2023","a2r69000007ISnN","suPARnostic TurbiLatex","","virogates.com/suparnostic-turbilatex/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Triage/Screening","Inflammation","Unspecified","Host Response","Not applicable","Antigen","Other","Soluble urokinase Plasminogen Activator Receptor (suPAR)","Not applicable","","Not applicable","Immunoassay","Agglutination","","Turbidity","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","Standard lab instrumentation is required","Automated (excluding sample preparation)","Laboratory Technician","Lab-based","","Intended for professional use only","Plasma","","10.00","Yes","","","Denmark","European Region"
"a2v69000004CidV","First Light Biosciences","firstlightbio.com","Americas","Bedford","United States","31.03.2023","a2r69000007ISls","MultiPath UTI","","firstlightdx.com","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Diagnostic/confirmatory test","Urinary Tract Infections","Unspecified","ID-Phenotypic AST","Unknown","Microorganism","Unknown","","Unknown","","Unspecified","Microscopy","Microscopy Fluorescence","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Unknown","","S/R","Cartridge-based processing","","A proprietary/new instrument is required","Unknown","","near Point of Care","","","Urine","","30.00","Yes","","https://www.nature.com/articles/s41598-022-22792-y","United States","Region of the Americas"
"a2v69000004Cie7","MicrobeDx","microbedx.com","Americas","Los Angeles","United States","31.03.2023","a2r69000007ISlu","MicrobeDX UTI","","microbedx.com","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Diagnostic/confirmatory test","Urinary Tract Infections","Unspecified","ID-Phenotypic AST","Unknown","RNA","Unknown","","Unknown","","Unspecified","Chemical/Biochemical","Electrochemistry assay","","Unspecified","","Unknown","Not applicable","","Not applicable","","Unknown","","Unknown","Unspecified","","Unknown","Unknown","","near Point of Care","","","Urine","","","Yes","","https://magnify.cnsi.ucla.edu/project/microbedx/","United States","Region of the Americas"
"a2v69000004CidY","ELITechGroup","elitechgroup.com","Europe","Puteaux","France","31.03.2023","a2r69000007ISj3","MGB Alert Candida species","","elitechgroup.com/molecular-diagnostics-us/product/mgb-alert-candida-species/","Research Use Only (RUO)","Already on the market (commercialized)","None","Diagnostic/confirmatory test","Bloodstream Infections; CNS Infections; Enteric; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","Candidiasis; Sepsis","ID","Identification","DNA","Unknown","","Candida albicans; Candida auris; Candida glabrata; Candida krusei; Candida parapsilosis; Candida tropicalis; Other","Candida dubliniensis","Fungi","Molecular","qPCR","","Fluorescence","","Semi-quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","Laboratory Technician","Lab-based","","Intended for professional use only","Unknown","","","Yes","","","France","European Region"
"a2v69000004Cicx","ViroGates A/S","virogates.com","Europe","Birkeroed","Denmark","31.03.2023","a2r69000007ISnP","suPARnostic AUTO Flex ELISA","","virogates.com/suparnostic-elisa/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Triage/Screening","Inflammation","Unspecified","Host Response","Not applicable","Antigen","Other","Soluble urokinase Plasminogen Activator Receptor (suPAR)","Not applicable","","Not applicable","Immunoassay","ELISA/EIA","","Colorimetric","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Plasma; Serum","","120.00","Yes","","","Denmark","European Region"
"a2v69000004CidX","T2 Biosystems","t2biosystems.com","Americas","Lexington","United States","31.03.2023","a2r69000007ISj2","T2Cauris Panel","","t2biosystems.com/products-technology/pipeline/t2candida-auris-panel-ruo/","Research Use Only (RUO)","Unspecified Market Entry","None","Diagnostic/confirmatory test","Bloodstream Infections; CNS Infections; Enteric; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","Candidiasis; Sepsis","ID-AMR","Identification","DNA","Unknown","","Candida auris","","Fungi","Biophysics","Other","Magnetic resonance","Other","spin-spin (T2) relaxation times","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Laboratory Technician","Lab-based","","Intended for professional use only","Venous blood","","300.00","Yes","","","United States","Region of the Americas"
"a2v69000004Cie9","Llusern Scientific","llusern.co.uk","Europe","Unknown","United Kingdom","31.03.2023","a2r69000007ISlw","Lodestar DX UTI Panel","","llusern.co.uk/products/urinary-tract-infection-testing/","Late Stage Development (fully functional prototype)","2023","None","Diagnostic/confirmatory test","Urinary Tract Infections","Unspecified","ID","Unknown","DNA","Unknown","","Escherichia coli; Klebsiella spp; Other; Proteus mirabilis; Pseudomonas aeruginosa","Staphylococcus saprophyticus; Enterococcus spp","Bacteria (Gram+); Bacteria (Gram-)","Molecular","Isothermal LAMP","","Unspecified","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Laboratory Technician","near Point of Care","L2: District Hospital Lab","Intended for professional use only","Urine","","30.00","Yes","","","United Kingdom","European Region"
"a2v69000004Cicw","ViroGates A/S","virogates.com","Europe","Birkeroed","Denmark","31.03.2023","a2r69000007ISnO","suPARnostic Quick Triage","","virogates.com/suparnostic-quick-triage/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Triage/Screening","Inflammation","Unspecified","Host Response","Not applicable","Antigen","Other","Soluble urokinase Plasminogen Activator Receptor (suPAR)","Not applicable","","Not applicable","Immunoassay","Lateral Flow Assay","","Colorimetric","","Quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Plasma","","20.00","Yes","","","Denmark","European Region"
"a2v69000004Cicz","Roche Diagnostics International AG","molecular.roche.com","Europe","Rotkreuz","Germany","31.03.2023","a2r69000007ISnR","cobas CT/NG","","diagnostics.roche.com/global/en/products/params/cobas-ct-ng.html","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD; US FDA 510k","Diagnostic/confirmatory test","Sexually Transmitted Infections","Unspecified","ID","Identification","DNA","Unknown","","Chlamydia trachomatis; Neisseria gonorrhoeae","","Bacteria (Gram-)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Laboratory Technician","Lab-based","","Intended for professional use only","Cervical swab; Endocervical swab; Oropharyngeal swab; Rectal swab; Urine; Vaginal swab","","210.00","Yes","","","Switzerland","European Region"
"a2v69000004CidZ","ELITechGroup","elitechgroup.com","Europe","Puteaux","France","31.03.2023","a2r69000007ISj4","DSQ Alert Candida auris","","elitechgroup.com/molecular-diagnostics-us/product/dsq-alert-candida-auris/","Research Use Only (RUO)","Already on the market (commercialized)","None","Diagnostic/confirmatory test","Bloodstream Infections; CNS Infections; Enteric; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","Candidiasis; Sepsis","ID","Identification","DNA","Unknown","","Candida auris","","Fungi","Molecular","qPCR","","Fluorescence","","Semi-quantitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","Laboratory Technician","Lab-based","","Intended for professional use only","Unknown","","","Yes","","","France","European Region"
"a2v69000004Cicy","Sepset Biosciences Inc.","sepset.ca","Europe","Victoria","Canada","31.03.2023","a2r69000007ISnQ","Sepset-ER test","","sepset.ca/technology","Early Stage Development (partial prototype)","Unspecified Market Entry","None","Triage/Screening","Inflammation","Sepsis","Host Response","Not applicable","mRNA","Unknown","","Not applicable","","Not applicable","Molecular","qPCR","","Unspecified","","Unknown","Not applicable","","Not applicable","","Not applicable","","Not applicable","Unspecified","","Unknown","Unknown","","Lab-based","L4: Reference/National Lab","Intended for professional use only","Venous blood","","","Yes","","https://www.newswire.ca/news-releases/asep-medical-holdings-inc-is-granted-patent-approval-for-its-ai-based-sepsis-diagnostic-technology-in-the-us-867144417.html","Canada","Region of the Americas"
"a2v69000004Cida","ELITechGroup","elitechgroup.com","Europe","Puteaux","France","31.03.2023","a2r69000007ISj5","MGB Alert Candida auris with fluconazole resistance","","elitechgroup.com/molecular-diagnostics-us/product/mgb-alert-candida-auris-with-fluconazole-r-resistance/","Research Use Only (RUO)","Already on the market (commercialized)","None","Diagnostic/confirmatory test","Bloodstream Infections; CNS Infections; Enteric; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","Candidiasis; Sepsis","ID-AMR","Identification","DNA","Unknown","","Candida auris","","Fungi","Molecular","qPCR","","Fluorescence","","Semi-quantitative","Unknown","","Other","Fluconazole resistance","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","Laboratory Technician","Lab-based","","Intended for professional use only","Unknown","","","Yes","","","France","European Region"
"a2v69000004CieB","Maternova","maternova.net","Americas","Providence","United States","31.03.2023","a2r69000007ISly","UTI Rapid Culture","","maternova.net/collections/rapid-tests/products/uti-rapid-culture","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Bloodstream Infections; Urinary Tract Infections","Unspecified","ID","Presumptive identification","Growth/metabolism","Unknown","","Escherichia coli","","Bacteria (Gram-)","Growth based","Culture","","Microscopy","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Other","Tray","Standard lab instrumentation is required","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Urine","","1440.00","Yes","","","United States","Region of the Americas"
"a2v69000004Cidc","Qvella","qvella.com","Americas","Richmond Hill","Canada","31.03.2023","a2r69000007ISj7","FAST-ID BSI","","qvella.com/fast-id-bsi-2/","Late Stage Development (fully functional prototype)","Unspecified Market Entry","None","Diagnostic/confirmatory test","Bloodstream Infections","Candidiasis; Sepsis","ID","Identification","RNA","Unknown","","Acinetobacter baumannii; Candida albicans; Candida glabrata; Candida krusei; Candida parapsilosis; Candida tropicalis; Enterobacterales; Enterobacter spp; Enterococcus faecium; Escherichia coli; Klebsiella pneumoniae; Other; Proteus spp; Pseudomonas aeruginosa; Staphylococcus aureus; Streptococcus pneumoniae","Candida dubliniensis; Enterococcus spp; Staphylococcus spp; Streptococcus spp","Bacteria (Gram+); Bacteria (Gram-); Fungi","Molecular","PCR (conventional); Hybridization","","Unspecified","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Laboratory Technician","near Point of Care","","Intended for professional use only","Venous blood","","60.00","Yes","","","Canada","Region of the Americas"
