"Test Directory Package ID","Instrument: Instrument ID","Instrument: Instrument llustration","Instrument: Instrument Name","Instrument: Product Website","Instrument: Confidentiality Level","Instrument: Type of instrument","Performance Detail Submission ID","Created Date","Instrument: Company/Institution Name: Organisation Name","Instrument: Company/Institution Name: Country","Instrument: Company/Institution Name: City","Instrument: Company/Institution Name: WHO Region","Instrument: Company/Institution Name: Website","Instrument: Stage of Development","Instrument: Regulatory Approval","Instrument: Planned Market Entry","Instrument: Type of Technology","Instrument: Technology principle","Instrument: Test Format","Instrument: Readout Technology","Instrument: Other Readout Technology","Instrument: Multiplexing Range","Instrument: Multiplexing capacity","Instrument: Multiplexing description","Instrument: Time to results (mins)","Instrument: Instrument footprint","Instrument: Weight (in Kg)","Instrument: Size (LxWxH) in cm","Instrument: Level of automation","Instrument: Assay menu (Commercial)","Instrument: Assay in development","Instrument: Lab vs. POC","Instrument: Health Level","Instrument: End user profile (training level)","Instrument: Self-testing/Self-Collection","Instrument: Instrument power supply","Instrument: Other Power Supply","Instrument: Connectivity Solution","Instrument: Connectivity options","Instrument: Maximum Operating Temperature","Instrument: Minimum Operating Temperature","Instrument: Additional Operating Conditions","Instrument: Price per instrument in USD (Ex Works)","Instrument: COGS(instrument)","Instrument: Price Source","Instrument: Companion solutions","Instrument: Created By: Full Name","Instrument: Last Modified By: Full Name"
"a2vVj000000c6kM","a2sVj000003Phhe","","FlashDetect Nano","https://en.coyotebio.com/instrument_detail/id/8.html","","NAT platform","","11.03.2024","Coyote Bioscience Co., Ltd.","China","Beijing","Western Pacific Region","coyotebio.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","qPCR","Cartridge-based processing","Fluorescence","","Low","4","4 fluo channels","20.00","Small","4.40","12.5x22x29.5","Fully automated (including sample preparation)","COVID-19, COVID-19/FluA/B, FluA/B/RSV, StrepA, MRSA, MTB, CT/NG/UU, MG/TV/MH, HSV, Dengue, Chikungunya/YV/Dengue, mPox","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Portable charger compatible","Can run with a portable charger.","Yes","Bluetooth","50.00","10.00","","","","","","Romain Wyss","Romain Wyss"
"a2vVj000000hEvl","a2s690000019K25","","Pluslife Mini Dock","https://www.pluslife.com/ProductBrochure.html","","NAT platform","","22.03.2024","Guangzhou Pluslife Biotech Co., ltd.","China","Guangzhou","Western Pacific Region","pluslife.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal Other","Cartridge-based processing","Fluorescence","","Medium","7","The Pluslife test card has 7 independent chambers, one of which contains internal control microspheres, and the remaining 6 chambers are used to place target microspheres. Therefore, maximum number of targets (including controls) is roughly 4(Some detection require 2 target genes).","35.00","Handheld","0.21","10.1x9.1x6.5","Automated (excluding sample preparation)","COVID-19/FluA/B,Mpox,TB, RSV/FluA/B,StrepA, MP, CT/NG/UU, HPV, TV, GBS","HCV,MRSA,Dengue,Malaria, SP","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Portable charger compatible","USB-A charger","Yes","Bluetooth","30.00","15.00","RH: <80%","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2vVj000000hFBt","a2s690000019K25","","Pluslife Mini Dock","https://www.pluslife.com/ProductBrochure.html","","NAT platform","","22.03.2024","Guangzhou Pluslife Biotech Co., ltd.","China","Guangzhou","Western Pacific Region","pluslife.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","Isothermal Other","Cartridge-based processing","Fluorescence","","Medium","7","The Pluslife test card has 7 independent chambers, one of which contains internal control microspheres, and the remaining 6 chambers are used to place target microspheres. Therefore, maximum number of targets (including controls) is roughly 4(Some detection require 2 target genes).","35.00","Handheld","0.21","10.1x9.1x6.5","Automated (excluding sample preparation)","COVID-19/FluA/B,Mpox,TB, RSV/FluA/B,StrepA, MP, CT/NG/UU, HPV, TV, GBS","HCV,MRSA,Dengue,Malaria, SP","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Portable charger compatible","USB-A charger","Yes","Bluetooth","30.00","15.00","RH: <80%","","","","Mobile application","Victoria Aroworade","Romain Wyss"
"a2vVj0000003Ki9","a2sVj000000ThMb","","Reader for Virus Test","https://www.one-chip.com/reader","","NAT platform","","14.12.2023","ONE-CHIP BIOTECHNOLOGY CO.，LTD.","China","Chengdu","Western Pacific Region","en.one-chip.com/","Regulatory Status Unknown","Unknown","Already on the market (commercialized)","Molecular","Isothermal Other","Cartridge-based processing","Unspecified","","Unknown","","","30.00","Handheld","","6x6x6.5","Fully automated (including sample preparation)","","","True Point of Care","L0: Community","","","Portable charger compatible","DC 5V/2A, Instrument power: 10W Operating voltage: 5V Operating current: 2A","","","60.00","10.00","RH: 20-85%","","","","","Romain Wyss","Romain Wyss"
"a2vVj0000002yXx","a2sVj000000RFW8","","Biocrucible","https://biocrucible.co.uk/","","NAT instrument-free","","13.12.2023","Biocrucible","United Kingdom","Cambridge","European Region","biocrucible.co.uk/about","Early Stage Development (partial prototype)","None","Unknown","Molecular","Isothermal Other; Nucleic Acid Lateral Flow Assay (NA-LFA)","Cartridge-based processing","Colorimetric","","Single pathogen","2","","","Handheld","","","Fully automated (including sample preparation)","","COVID-19","True Point of Care","Self-Testing","Self-administered","Intended for self-testing (in development)","Unknown","","","","","","","","","","","Romain Wyss","Romain Wyss"
"a2v69000004Cidq","a2s69000002r1xf","https://find.my.salesforce.com/sfc/p/w0000000mbDU/a/Vj000000Lbe5/1UES2tB.cQNLTYJSURgLIIlIy8PgQr8QYG4ikNu8aH8","Visby","https://www.visbymedical.com/sexual-health-test/","","NAT instrument-free","","04.04.2023","Visby Medical, Inc","United States","San Jose","Region of the Americas","visbymedical.com","Regulatory Achieved","US FDA 510k","Already on the market (commercialized)","Molecular","PCR (conventional); Nucleic Acid Lateral Flow Assay (NA-LFA)","Cartridge-based processing","Colorimetric","","Low","4","3 targets + 1 control","30.00","Handheld","","6.6x13.7x4.3","Fully automated (including sample preparation)","COVID-19/FluA/B, CT/NG/TV","","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for self-collection (kit available)","Portable charger compatible","Visby power adapter (9 V, 3.5 A DC)","","","33.00","13.00","RH: 5-80%
300ft-9500ft","","","","","Romain Wyss","Romain Wyss"
"a2vVj000001EHEw","a2sVj000006jmTG","","CLEO ONE","https://www.wizbiosolution.com/product_view.php?idx=82","","NAT platform","","06.06.2024","Wizbiosolutions Inc.","Korea, Republic of","Seongnam-si","Western Pacific Region","wizbiosolution.com","Regulatory Achieved","CE-IVDD; Korea MFDS","Already on the market (commercialized)","Molecular","Isothermal LAMP","Cartridge-based processing","Fluorescence","","Low","3","3 reaction wells","30.00","Handheld","0.17","7.2x7.2x10.4","Fully automated (including sample preparation)","COVID-19","COVID/Flu, Flu","True Point of Care","L1: Primary Care","Trained staff in health care facilities","Intended for professional use only","Mains power","","Yes","Bluetooth","35.00","10.00","RH: 20-80%","","","","Mobile application","Romain Wyss","Romain Wyss"
"a2vVj0000003JSj","a2sVj000000TSQq","","GenPad","https://miraigenomics.com/","","NAT platform","","14.12.2023","K.K. MIRAI GENOMICS","Japan","Yokohama","Western Pacific Region","miraigenomics.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","qPCR","Cartridge-based processing","Fluorescence","","Low","4","","40.00","Handheld","0.60","13x5x11","Fully automated (including sample preparation)","COVID-19,COVID-19/FluA/B","STI panel","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Battery-operated","Lithium-ion Polymer (LiPo) technology, capacity – 3,000 mAh, voltage - 7.40  V.","Yes","Bluetooth","35.00","15.00","RH: 30-85%","","","","Mobile application","Romain Wyss","Romain Wyss"
"a2vVj0000003K2D","a2sVj000000TSQq","","GenPad","https://miraigenomics.com/","","NAT platform","","14.12.2023","K.K. MIRAI GENOMICS","Japan","Yokohama","Western Pacific Region","miraigenomics.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","qPCR","Cartridge-based processing","Fluorescence","","Low","4","","40.00","Handheld","0.60","13x5x11","Fully automated (including sample preparation)","COVID-19,COVID-19/FluA/B","STI panel","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Battery-operated","Lithium-ion Polymer (LiPo) technology, capacity – 3,000 mAh, voltage - 7.40  V.","Yes","Bluetooth","35.00","15.00","RH: 30-85%","","","","Mobile application","Romain Wyss","Romain Wyss"
"a2vVj0000002yph","a2sVj000000RUmo","","NuRapid","https://microdiag.com/info-4-1162.html","","NAT platform","","13.12.2023","Jiangsu MicroDiag Biomedical Technology Co., Ltd.","China","Suzhou","Western Pacific Region","microdiag.com","Regulatory Status Unknown","Unknown","Already on the market (commercialized)","Molecular","Isothermal Other; Nucleic Acid Lateral Flow Assay (NA-LFA); CRISPR","Cartridge-based processing","Colorimetric","","Single pathogen","2","Lines on the LFA strip","","Handheld","0.60","8.7x4.5x2.5","Fully automated (including sample preparation)","TB","","True Point of Care","L0: Community","Trained staff in health care facilities","Intended for professional use only","Portable charger compatible","can be connected to power bank","No","","","","","","","","","Romain Wyss","Romain Wyss"
"a2vVj0000003Ija","a2sVj000000TSQq","","GenPad","https://miraigenomics.com/","","NAT platform","","14.12.2023","K.K. MIRAI GENOMICS","Japan","Yokohama","Western Pacific Region","miraigenomics.com","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","qPCR","Cartridge-based processing","Fluorescence","","Low","4","","40.00","Handheld","0.60","13x5x11","Fully automated (including sample preparation)","COVID-19,COVID-19/FluA/B","STI panel","True Point of Care","L1: Primary Care","Trained staff in health care facilities","","Battery-operated","Lithium-ion Polymer (LiPo) technology, capacity – 3,000 mAh, voltage - 7.40  V.","Yes","Bluetooth","35.00","15.00","RH: 30-85%","","","","Mobile application","Romain Wyss","Romain Wyss"
"a2vVj000000CGx3","a2s69000002r1ts","","Detect Hub and Detect App (2nd Gen)","https://www.detect.com/","Level 1 (caution)","NAT platform","","12.01.2024","Detect, Inc.","United States","Guilford","Region of the Americas","detect.com","Late Stage Development (fully functional prototype)","None","Unknown","Molecular","Isothermal LAMP","Cartridge-based processing","Fluorescence","","Medium","8","8 parallel chambers","15.00","Small","2.00","20.96x17.8x11.2","Fully automated (including sample preparation)","","COVID-19, COVID-19/FluA/B","True Point of Care","Self-Testing","Self-administered","Intended for self-testing (in development)","Portable charger compatible","100W charger with type C cable","Yes","Bluetooth","40.00","5.00","","","100","Internal (call with the company)","","Romain Wyss","Romain Wyss"
