"Performance Detail Submission: ID","Parent Submission: Created Date","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Impact of SARS-COV-2 Beta variant","Parent Submission: Impact of SARS-COV-2 Alpha variant","Parent Submission: Impact of SARS-COV-2 Gamma variant","Parent Submission: Impact of SARS-COV-2 Delta+ variant","Parent Submission: Impact of SARS-COV-2 Delta variant","Parent Submission: Impact of SARS-COV-2 Omicron variant","Parent Submission: S gene dropout","Parent Submission: SARS-CoV-2 variant(s)","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Is this a variant detection test?","Parent Submission: Revoked/Not Approved By"
"a266900000A9wDA","02.04.2021","02.04.2021","Hangzhou AllTest Biotech Co.,ltd.","COVID-19 Antigen Test cassette (FIA)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.alltests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","20.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wDB","02.04.2021","02.04.2021","Hangzhou AllTest Biotech Co.,ltd.","COVID-19 Antigen Rapid Test ( Oral Fluid)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.alltests.com.cn","Australia TGA; CE-IVD","90.10","99.30","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","20.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B3lyR","23.02.2022","23.02.2022","Hangzhou AllTest Biotech Co.,ltd.","SARS-CoV-2 Antigen Rapid Test (Nasal Swab) for self testing","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.alltests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000AvaEw","14.12.2021","14.12.2021","Hangzhou AllTest Biotech Co.,ltd.","2019-nCoV IgG/IgM Rapid Test Cassette (Whole Blood/Serum/Plasma)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","alltests.com.cn","CE-IVD","85.00","96.00","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Venous blood; Whole Blood","10.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","WHO EUL Under Assessment"
"a266900000AvIHa","10.12.2021","10.12.2021","Hangzhou AllTest Biotech Co.,ltd.","SARS-CoV-2 Antigen Rapid Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA; CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","WHO EUL Under Assessment"
"a266900000B5QHB","28.03.2022","","Hangzhou AllTest Biotech Co.,ltd.","COVID-19 Antigen Rapid Test (Swab)(NP)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.alltests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QHC","28.03.2022","","Hangzhou AllTest Biotech Co.,ltd.","SARS-CoV-2/Influenza A+B/RSV Antigen Combo Rapid Test (Nasopharyngeal Swab)","SARS-CoV-2; Influenza A; Influenza B; Respiratory Syncytial Virus","Regulatory Achieved","China","Western Pacific","www.alltests.com.cn","CE-IVD","94.12","99.41","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QHD","28.03.2022","","Hangzhou AllTest Biotech Co.,ltd.","SARS-CoV-2/Influenza A+B/RSV/Adenovirus Antigen Combo Rapid Test","SARS-CoV-2; Influenza A; Influenza B; Respiratory Syncytial Virus","Regulatory Achieved","China","Western Pacific","www.alltests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QHE","28.03.2022","","Hangzhou AllTest Biotech Co.,ltd.","SARS-CoV-2/Influenza A+B/RSV/Adenovirus/M.pneumoniae Antigen Combo Rapid Test","SARS-CoV-2; Influenza A; Influenza B; Respiratory Syncytial Virus; Mycoplasma pneumoniae","Regulatory Achieved","China","Western Pacific","www.alltests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QHA","28.03.2022","","Hangzhou AllTest Biotech Co.,ltd.","CVAG4080A GSD NovaGen SARS-CoV-2 Ag Rapid Test (NP Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.alltests.com.cn","CE-IVD","93.40","99.90","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2ln8","04.02.2022","04.02.2022","Hangzhou AllTest Biotech Co.,ltd.","All Test COVID-19 Antigen Rapid Test (Oral fluid) self testing","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA; CE-IVD","90.10","99.30","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Saliva","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2lnE","04.02.2022","04.02.2022","Hangzhou AllTest Biotech Co.,ltd.","All Test COVID-19 Antigen Rapid Test (Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab; Saliva","20.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2ldE","28.02.2022","28.02.2022","Hangzhou AllTest Biotech Co.,ltd.","BERIGHT COVID-19 Antigen Rapid Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA","90.10","99.30","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","20.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2lde","01.02.2022","01.02.2022","Hangzhou AllTest Biotech Co.,ltd.","My Covid Test Antigen Rapid Test (Oral Fluid) self-test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.alltests.com.cn","Australia TGA","90.10","99.30","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Saliva","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2lda","01.02.2022","01.02.2022","Hangzhou AllTest Biotech Co.,ltd.","Joinstar COVID-19 Antigen Rapid Test (Oral Fluid) SELFTESTING","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","CE-IVD; Germany BfArM; Other","90.00","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Saliva","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2ldb","01.02.2022","01.02.2022","Hangzhou AllTest Biotech Co.,ltd.","Juschek COVID-19 Antigen Rapid Test (Nasal Swab) Self Testing","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.alltests.com.cn","Australia TGA; CE-IVD","93.60","99.90","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2leF","02.02.2022","02.02.2022","Hangzhou AllTest Biotech Co.,ltd.","All Test SARS-CoV-2 Antigen Rapid Test (Nasal Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.alltests.com.cn","Australia TGA; Singapore HSA","95.90","99.40","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B3loH","23.02.2022","23.02.2022","Hangzhou AllTest Biotech Co.,ltd.","GSD NovaGen SARS-CoV-2 Ag Rapid Test (Nasal Swab) for self testing","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA; CE-IVD","94.10","99.30","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","20.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2bwg","04.02.2022","04.02.2022","Hangzhou AllTest Biotech Co.,ltd.","All Test COVID-19 Antigen Rapid Test (Oral fluid)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA","97.00","99.30","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Saliva","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2btj","04.02.2022","04.02.2022","Hangzhou AllTest Biotech Co.,ltd.","GSD NovaGen SARS CoV-2 Rapid Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA; CE-IVD","94.10","99.30","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Nasal swab","20.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B44UH","28.02.2022","28.02.2022","Hangzhou AllTest Biotech Co.,ltd.","Juschek COVID-19 Antigen Rapid Test (Oral Fluid)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.alltests.com.cn","Chile ANAMED","90.10","99.30","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Saliva","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QHF","28.03.2022","","Hangzhou Bigfish Bio-tech Co., ltd.","Novel Coronavirus (SARS-CoV-2 ) Antigen Rapid Test(Colloidal Gold)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.bigfishgene.com/","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wHe","19.05.2021","19.05.2021","Hangzhou Biotest Biotech Co., ltd.","COVID-19 Antigen Rapid Test Cassette(Nasal Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA; CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000BEWLb","11.04.2022","11.04.2022","Hangzhou Biotest Biotech Co., ltd.","RightSign COVID-19 IgG/IgM Rapid Test Cassette","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","US FDA EUA; Australia TGA","92.50","98.10","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QHK","28.03.2022","","Hangzhou Biotest Biotech Co., ltd.","COVID-19 Antigen Rapid Test Cassette (Nasopharyngeal Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","en.biotests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QHL","28.03.2022","","Hangzhou Biotest Biotech Co., ltd.","COVID-19 Antigen Rapid Test Cassette (Saliva)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","en.biotests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QHM","28.03.2022","","Hangzhou Biotest Biotech Co., ltd.","COVID-19 Antigen Rapid Test Cassette(Nasal swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","en.biotests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QGm","28.03.2022","","Hangzhou Biotest Biotech Co., ltd.","COVID-19 + Flu A&B + RSV Antigen Combo Rapid Test Cassette (Nasopharyngeal Swab)","SARS-CoV-2; Influenza A; Influenza B; Respiratory Syncytial Virus","Regulatory Achieved","China","Western Pacific","en.biotests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QGn","28.03.2022","","Hangzhou Biotest Biotech Co., ltd.","COVID-19 + Flu A&B + RSV + Adenovirus Antigen Combo Rapid Test Cassette","SARS-CoV-2; Influenza A; Influenza B; Respiratory Syncytial Virus","Regulatory Achieved","China","Western Pacific","en.biotests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QGo","28.03.2022","","Hangzhou Biotest Biotech Co., ltd.","COVID-19 + Flu A&B Antigen Combo Rapid Test Cassette (Nasopharyngeal Swab)","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","China","Western Pacific","en.biotests.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2ldl","01.02.2022","01.02.2022","Hangzhou Biotest Biotech Co., ltd.","RightSign COVID-19 Antigen Rapid Test Cassette (Nasal Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.alltests.com.cn","Australia TGA","93.20","353.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2ldn","01.02.2022","01.02.2022","Hangzhou Biotest Biotech Co., ltd.","SARS-CoV-2 Antigen Rapid Test (Nasal swab) for self testing","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","None","0.00","0.00","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B2ldL","01.02.2022","01.02.2022","Hangzhou Biotest Biotech Co., ltd.","COVID-19 Antigen Rapid Test Cassette(Nasal Swab) Self-testing","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA; CE-IVD; Other","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B44Ud","28.02.2022","28.02.2022","Hangzhou Clongene Biotech Co., ltd.","Clongene COVID-19 Antigen Rapid Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA","95.10","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","No impact (analytical/clinical studies conducted)","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9aw","02.09.2021","02.09.2021","Hangzhou Clongene Biotech Co., ltd.","SARS-CoV-2 Nucleic Acid RT-PCR Test Kit","SARS-CoV-2","Research Use Only (RUO)","China","Western Pacific","http://en.clongene.com/","None","","","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Bronchoalveolar lavage; Sputum","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000BBn8Y","25.05.2022","25.05.2022","Hangzhou Clongene Biotech Co., ltd.","COVID-19 IgG/IgM Rapid Test Cassette","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA","","","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000BBn8X","25.05.2022","25.05.2022","Hangzhou Clongene Biotech Co., ltd.","COVID-19 IgG/IgM Rapid Test Cassette","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA","","","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w50","27.02.2021","27.02.2021","Hangzhou Clongene Biotech Co., ltd.","COVID-19 Antigen Rapid Test Cassette (Nasal Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","http://en.clongene.com/index.php/home/product/info/id/1632/catId/40.html","CE-IVD","97.50","99.40","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wDC","02.04.2021","02.04.2021","Hangzhou Clongene Biotech Co., ltd.","COVID-19 Influenza A+B Antigen Combo Rapid Test Cassette","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","China","Western Pacific","http://en.clongene.com/","CE-IVD","92.30","99.80","Immunoassay","Antigen","N-protein; Influenza A; Influenza B","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wC8","30.03.2021","30.03.2021","Hangzhou Clongene Biotech Co., ltd.","COVID-19 Antigen Rapid Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","Australia TGA; CE-IVD; Germany BfArM","91.40","99.40","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wCQ","02.04.2021","02.04.2021","Hangzhou Clongene Biotech Co., ltd.","COVID-19 Antigen Rapid Test(Self-Testing)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","http://en.clongene.com/","Germany BfArM","97.10","99.40","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
