"Performance Detail Submission: ID","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Primary Use Case","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Revoked/Not Approved By","Reference","Date of study","Type of data source"
"a266900000BBnan","25/05/2022","Tetracore Inc.","Orthopox BioThreat Alert","Orthopoxvirus","Orthopoxvirus","Research Use Only (RUO)","United States","Americas","tetracore.com","None","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Lesion fluid","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Michael B. Townsend, Adam MacNeil, Mary G. Reynolds, Christine M. Hughes, Victoria A. Olson, Inger K. Damon, Kevin L. Karem,
Evaluation of the Tetracore Orthopox BioThreat® antigen detection assay using laboratory grown orthopoxviruses and rash illness clinical specimens,
Journal of Virological Methods,
Volume 187, Issue 1,
2013,
Pages 37-42,
ISSN 0166-0934,
https://doi.org/10.1016/j.jviromet.2012.08.023.
(https://www.sciencedirect.com/science/article/pii/S0166093412003023)
Abstract: The commercially available Orthopox BioThreat® Alert assay for orthopoxvirus (OPV) detection is piloted. This antibody-based lateral-flow assay labels and captures OPV viral agents to detect their presence. Serial dilutions of cultured Vaccinia virus (VACV) and Monkeypox virus (MPXV) were used to evaluate the sensitivity of the Tetracore assay by visual and quantitative determinations; specificity was assessed using a small but diverse set of diagnostically relevant blinded samples from viral lesions submitted for routine OPV diagnostic testing. The BioThreat® Alert assay reproducibly detected samples at concentrations of 107pfu/ml for VACV and MPXV and positively identified samples containing 106pfu/ml in 4 of 7 independent experiments. The assay correctly identified 9 of 11 OPV clinical samples and had only one false positive when testing 11 non-OPV samples. Results suggest applicability for use of the BioThreat® Alert assay as a rapid screening assay and point of care diagnosis for suspect human monkeypox cases.
Keywords: Monkeypox; Orthopoxvirus; BioThreat; Diagnostic; Rapid","2012","Published scientific article"
"a266900000BC6rP","31/05/2022","ThermoFisher Scientific","TaqMan Microbial Assay single tube protocol","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","United States","Americas","https://www.thermofisher.com/ch/en/home.html","None","","","Molecular","DNA","MPX F3L gene; Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Saliva","90.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","https://www.thermofisher.com/blog/ask-a-scientist/monkeypox-virus-surge-and-public-health-laboratories/","",""
"a266900000BBnqX","25/05/2022","TIB Molbiol/Roche Diagnostics","Orthopoxviruses - LightMix Modular Assay - RUO","Orthopoxvirus; Monkeypox virus; Cowpox virus","Monkeypox virus","Research Use Only (RUO)","Germany","Europe","tib-molbiol.de","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BBnqS","25/05/2022","TIB Molbiol/Roche Diagnostics","Monkeypox - LightMix Modular Assay","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","Germany","Europe","tib-molbiol.de","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BBnqD","25/05/2022","TIB Molbiol/Roche Diagnostics","Orthopoxviruses - LightMix Modular Assay","Orthopoxvirus; Monkeypox virus; Cowpox virus","Monkeypox virus","Research Use Only (RUO)","Germany","Europe","tib-molbiol.de","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BC0Dl","30/05/2022","Trivitron Healthcare","Monkeypox Real-Time PCR kit","Variola virus; Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","India","South-East Asia","trivitron.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Lesion crusts; Lesion roof; Lesion fluid","60.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a2669000009j2cI","27/07/2022","Uni-science Biotechnology Co., Ltd","Monkeypox IgG/IgM Rapid Test Kit (Colloidal gold Assay)","Monkeypox virus","Monkeypox virus","Experimental proof-of-concept","China","Western Pacific","www.uni-science.com","None","0.00","0.00","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Plasma","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnar","25/05/2022","Unité des Virus Émergents","Novel and sensitive real-time PCR system for universal detection of poxviruses","Monkeypox virus; Other","Monkeypox virus","Validation","France","Europe","doi.org/10.1038/s41598-021-81376-4","None","99.80","99.70","Molecular","DNA","MPX D6R gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Laboratory-developed test","Intended for professional use only","Diagnostic/confirmatory test","Whole Blood; Lesion crusts","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Luciani, L., Inchauste, L., Ferraris, O. et al. A novel and sensitive real-time PCR system for universal detection of poxviruses. Sci Rep 11, 1798 (2021). https://doi.org/10.1038/s41598-021-81376-4","2021","Published scientific article"
"a2669000009j2ho","01/08/2022","Ustar Biotechnologies (Hangzhou) Ltd.","EasyNAT Monkeypox Virus","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://en.bioustar.com/product/152.html","CE-IVD","0.00","0.00","Molecular","DNA","MPX F3L gene","Isothermal NAT(other)","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA","50.00","Yes","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BC0GQ","30/05/2022","VivaChek Biotech (Hangzhou) Co., Ltd.","VivaDia Monkeypox Virus Nucleic Acid Detection Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","vivachek.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Oropharyngeal swab; Whole Blood; Lesion crusts; Lesion roof; Lesion fluid","70.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000AWL34","18/08/2022","VivaChek Biotech (Hangzhou) Co., Ltd.","Monkeypox Virus Ag Rapid Test","Monkeypox virus","Monkeypox virus","Late Stage Development (fully functional prototype)","China","Western Pacific","vivachek.com","None","","","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Oropharyngeal swab","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWLiP","07/09/2022","Wuhan EasyDiagnosis Biomedicine Co., Ltd.","Monkeypox Virus IgM/IgG Antibody Rapid Test Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","mdeasydiagnosis.com","CE-IVD","0.00","0.00","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Serum; Plasma; Finger prick blood; Whole Blood","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWLiK","07/09/2022","Wuhan EasyDiagnosis Biomedicine Co., Ltd.","Monkeypox Virus Antigen Rapid Test Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","","mdeasydiagnosis.com","CE-IVD","0.00","0.00","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Oropharyngeal swab; Lesion fluid","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWF","01/06/2022","Wuxi Techstar Technology Co.,Ltd.","Techstar Monkeypox Lyophilized Detection Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","techstarbio.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a2669000009j2by","27/07/2022","Xi'an Tianlong  Science and Technology Co., Ltd.","Monkeypox Virus Nucleic Acid Detection Kit (Fluorescence PCR Method)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.tlgenetech.cn/product/monkeypox-virus-nucleic-acid-detection-kit","CE-IVD; MHRA UK","0.00","0.00","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Oropharyngeal swab; Lesion fluid","50.00","Yes","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWKsr","10/08/2022","Xiamen Biotime Biotechnology Co., Ltd.","Detection Kit for Monkeypox Virus (Real-time PCR)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.xiamenbiotime.com/detection-kit-for-monkeypox-virus-real-time-pcr_p81.html","CE-IVD; MHRA UK","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","True Point of Care","Intended for self-collection (kit available)","Diagnostic/confirmatory test","Oropharyngeal swab; Purified DNA; Wound swab; Lesion crusts; Lesion roof; Lesion fluid","70.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a2669000009j23U","10/08/2022","Xiamen Biotime Biotechnology Co., Ltd.","Detection Kit for Monkeypox Virus (Real-time PCR)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.xiamenbiotime.com/detection-kit-for-monkeypox-virus-real-time-pcr_p81.html","CE-IVD; MHRA UK","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","True Point of Care","Intended for self-collection (kit available)","Diagnostic/confirmatory test","Oropharyngeal swab; Purified DNA; Wound swab; Lesion crusts; Lesion roof; Lesion fluid","70.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Company website"
"a266900000AWLiZ","07/09/2022","Zhejiang Orient Gene Biotech Co., ltd.","Monkeypox IgG/IgM Rapid Test Cassette (Whole Blood/Serum/Plasma)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.orientgene.com/index.php/product/info/185.html","CE-IVD","0.00","0.00","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Triage/Screening","Serum; Plasma; Whole Blood","10.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWc","01/06/2022","Zhejiang Orient Gene Biotech Co., ltd.","Orient Gene monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","orientgene.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000AWLqu","13/09/2022","Zhejiang Orient Gene Biotech Co., ltd.","Monkeypox Ag Rapid Test Cassette (Swab)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","","","https://www.orientgene.com/index.php/product/info/185.html","CE-IVD","0.00","0.00","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Triage/Screening","Oropharyngeal swab; Other","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BD33y","17/06/2022","Zhuhai Livzon Diagnostics Inc.","Nucleic Acid Test Kit for Monkeypox Virus (Real-time PCR)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","http://www.livzondiagnostics.com/en-us/","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","90.00","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","","","","Instructions for Use (IFU)"
"a266900000BC6rZ","31/05/2022","ZYBIO INC.","Monkeypox virus nucleic acid detection kits (fluorescent PCR)","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","zybio.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","30.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
