Performance Detail Submission: ID,Company/Institution Name,Submission Title,Country of Manufacturer,Regulatory Approval,Clinical Sensitivity (%),95% CI for Clinical Sensitivity (Lower),95% CI for Clinical Sensitivity (Upper),Clinical Specificity (%),95% CI for Clinical Specificity (Lower),95% CI for Clinical Specificity (Upper),Assay Target,Target Analyte(s),Self-testing/Self-Collection,Validated Sample Types,Time to results excl sample prep (mins),submission_id
a266900000A9wGH,"Guangzhou Darui Biotechnology Co.,Ltd.",2019-nCoV Ag saliva rapid Test Card,China,Australia TGA; CE-IVD,95.65%,90.22%,98.13%,98.44%,94.48%,100.00%,Antigen,N-protein,Intended for professional use only,Saliva,10,a266900000A9wGH
a266900000A9w5t,"Guangzhou Darui Biotechnology Co.,Ltd.",2019-nCoV Ag Rapid Test Kit (Immunochromatography),China,CE-IVD,96.80%,92.10%,98.76%,99.50%,96.46%,99.34%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9w5t
a266900000A9w5u,"Guangzhou Darui Biotechnology Co.,Ltd.",2019-nCoV Ag Salvia Rapid Test Kit (Immunochromatography),China,CE-IVD; Germany BfArM,95.04%,89.60%,97.71%,98.54%,94.83%,99.60%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9w5u
a266900000B2ldz,"Guangzhou Darui Biotechnology Co.,Ltd.",V-Chek COVID-19 Antigen Saliva Test (self testing),China,Australia TGA; CE-IVD,95.65%,90.22%,98.13%,98.44%,94.48%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldz
a266900000A9wAc,"Guangzhou Tebsun Bio-Tech Development Co., LTD",2019-nCoV Antigen Test Kit(Colloidal Gold Immunochromatographic Assay),China,CE-IVD,95.10%,90.90%,97.40%,99.60%,97.50%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wAc
a266900000A9wFF,Guangzhou Weimi  Bio-Tech,COVID-19 Antigen Detection Reagent (Colloidal Gold method),China,CE-IVD,93.81%,87.76%,96.97%,99.06%,94.85%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab,15,a266900000A9wFF
a266900000A9w7D,"Guangzhou Wondfo Biotech Co., Ltd.",Wondfo 2019-nCoV Antigen Test (Lateral Flow Method),China,Australia TGA; CE-IVD,87.12%,81.11%,91.42%,99.74%,99.07%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9w7D
a266900000B2le1,"Guangzhou Wondfo Biotech Co., Ltd.",Wondfo 2019-nCoV Antigen Test (Lateral Flow Method)-Self-test,China,CE-IVD; MHRA UK,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab; Oropharyngeal swab,15,a266900000B2le1
a266900000A9wJm,"Hangzhou AllTest Biotech Co., Ltd",Juschek COVID-19 Antigen Rapid Test (Oral Fluid) Self Testing,China,Australia TGA; Brazil ANVISA; CE-IVD; Ukraine SMDC,91.10%,82.50%,95.50%,99.30%,97.70%,99.90%,Antigen,N-protein,Intended for self-testing (version available),Saliva,15,a266900000A9wJm
a266900000A9wD6,"Hangzhou AllTest Biotech Co., Ltd",COVID-19 and Influenza A+B Antigen Combo Rapid Test,China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab; Sputum,20,a266900000A9wD6
a266900000A9wD7,"Hangzhou AllTest Biotech Co., Ltd",COVID-19 and Influenza A+B Antigen Combo Rapid Test with Reader,China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Other,20,a266900000A9wD7
a266900000A9wD8,"Hangzhou AllTest Biotech Co., Ltd",COVID-19 Antigen Rapid Test,China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab,20,a266900000A9wD8
a266900000A9wD9,"Hangzhou AllTest Biotech Co., Ltd",COVID-19 Antigen Rapid Test with Reader,China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab,20,a266900000A9wD9
a266900000A9wDA,"Hangzhou AllTest Biotech Co., Ltd",COVID-19 Antigen Test cassette (FIA),China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab,20,a266900000A9wDA
a266900000A9wDB,"Hangzhou AllTest Biotech Co., Ltd",COVID-19 Antigen Rapid Test ( Oral Fluid),China,Australia TGA; CE-IVD,90.10%,82.50%,95.10%,99.30%,97.70%,100.00%,Antigen,Other,Intended for professional use only,Saliva,20,a266900000A9wDB
a266900000B3lyR,"Hangzhou AllTest Biotech Co., Ltd",SARS-CoV-2 Antigen Rapid Test (Nasal Swab) for self testing,China,CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B3lyR
a266900000AvIHa,"Hangzhou AllTest Biotech Co., Ltd",SARS-CoV-2 Antigen Rapid Test,-,Australia TGA; CE-IVD; WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000AvIHa
a266900000B2ln8,"Hangzhou AllTest Biotech Co., Ltd",All Test COVID-19 Antigen Rapid Test (Oral fluid) self testing,China,Australia TGA; CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Saliva,NA,a266900000B2ln8
a266900000B2lnE,"Hangzhou AllTest Biotech Co., Ltd",All Test COVID-19 Antigen Rapid Test (Swab),China,Australia TGA,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab; Saliva,20,a266900000B2lnE
a266900000B2lde,"Hangzhou AllTest Biotech Co., Ltd",My Covid Test Antigen Rapid Test (Oral Fluid) self-test,China,Australia TGA,90.10%,82.50%,95.10%,99.30%,97.70%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Saliva,15,a266900000B2lde
a266900000B2ldl,"Hangzhou AllTest Biotech Co., Ltd",RightSign COVID-19 Antigen Rapid Test Cassette (Nasal Swab),China,Australia TGA,93.75%,-,-,99.12%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldl
a266900000B2lda,"Hangzhou AllTest Biotech Co., Ltd",Joinstar COVID-19 Antigen Rapid Test (Oral Fluid) SELFTESTING,China,CE-IVD; Germany BfArM,95.00%,86.08%,98.96%,100.00%,88.43%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Saliva,15,a266900000B2lda
a266900000B2ldb,"Hangzhou AllTest Biotech Co., Ltd",Juschek COVID-19 Antigen Rapid Test (Nasal Swab) Self Testing,China,Australia TGA; CE-IVD,93.60%,-,-,99.90%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldb
a266900000B2leF,"Hangzhou AllTest Biotech Co., Ltd",All Test SARS-CoV-2 Antigen Rapid Test (Nasal Swab),China,Australia TGA,95.90%,-,-,99.40%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2leF
a266900000B3loH,"Hangzhou AllTest Biotech Co., Ltd",GSD NovaGen SARS-CoV-2 Ag Rapid Test (Nasal Swab) for self testing,China,CE-IVD,94.10%,-,-,99.30%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,20,a266900000B3loH
a266900000B2bwg,"Hangzhou AllTest Biotech Co., Ltd",All Test COVID-19 Antigen Rapid Test (Oral fluid),China,Australia TGA,97.00%,-,-,99.30%,-,-,Antigen,N-protein,Intended for professional use only,Saliva,NA,a266900000B2bwg
a266900000B2btj,"Hangzhou AllTest Biotech Co., Ltd",GSD NovaGen SARS CoV-2 Rapid Test,China,Australia TGA; CE-IVD,94.10%,-,-,99.30%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,20,a266900000B2btj
a266900000A9wHe,"Hangzhou Biotest Biotech Co., Ltd",COVID-19 Antigen Rapid Test Cassette(Nasal Swab),China,Australia TGA; CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wHe
a266900000B2ldn,"Hangzhou Biotest Biotech Co., Ltd",SARS-CoV-2 Antigen Rapid Test (Nasal swab) for self testing,China,Singapore HSA,-,-,-,-,-,-,Antigen,Unknown,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldn
a266900000B2ldL,"Hangzhou Biotest Biotech Co., Ltd",COVID-19 Antigen Rapid Test Cassette(Nasal Swab) Self-testing,China,CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldL
a266900000B2ldX,"Hangzhou Biotest Biotech Co., Ltd",GSD SARS-CoV-2 Antigen Rapid Test (Nasal swab) for self testing,China,Australia TGA,94.10%,-,-,99.30%,-,-,Antigen,Unknown,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldX
a266900000A9w50,"Hangzhou Clongene Biotech Co., Ltd.",COVID-19 Antigen Rapid Test Cassette (Nasal Swab),China,CE-IVD,97.50%,92.90%,99.20%,99.40%,98.10%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9w50
a266900000A9wDC,"Hangzhou Clongene Biotech Co., Ltd.",COVID-19 Influenza A+B Antigen Combo Rapid Test Cassette,China,CE-IVD,97.70%,93.50%,99.20%,99.80%,98.80%,100.00%,Antigen,N-protein; Other,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wDC
a266900000A9wC8,"Hangzhou Clongene Biotech Co., Ltd.",COVID-19 Antigen Rapid Test,China,Australia TGA; CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000A9wC8
a266900000A9wCQ,"Hangzhou Clongene Biotech Co., Ltd.",COVID-19 Antigen Rapid Test(Self-Testing),China,Germany BfArM,97.10%,92.70%,98.90%,99.40%,98.10%,99.80%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wCQ
a266900000B2ldH,"Hangzhou Clongene Biotech Co., Ltd.",Clongene COVID-19 Antigen Rapid Test (For Self-testing),China,Australia TGA,95.10%,89.70%,97.70%,100.00%,99.20%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldH
a266900000A9wDD,"Hangzhou Deangel Biological Engineering Co., Ltd",Novel Coronavirus S Glycoprotein Detection Kit,China,Brazil ANVISA; CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,S-protein (type unknown),Intended for professional use only,Feces,20,a266900000A9wDD
a266900000A9wDE,Hangzhou Fenhe Technology Co. Ltd,reOpenTest COVID-19 Antigen Rapid Test,China,CE-IVD,95.80%,73.40%,97.89%,99.00%,92.96%,99.76%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Sputum; Saliva,15,a266900000A9wDE
a266900000A9wC9,Hangzhou Laihe Biotech,Novel Coronavirus (COVID-19) Antigen Test (Colloidal Gold),China,CE-IVD; Germany BfArM; WHO EUL Under Assessment,95.39%,-,-,99.60%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wC9
a266900000B2ldd,Hangzhou Laihe Biotech,LYHER Novel Coronavirus (Covid-19) Antigen Test Kit (colloidal Gold) Self-Test,China,Australia TGA; CE-IVD,99.00%,-,-,100.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldd
a266900000B2bwW,Hangzhou Laihe Biotech,LYHER Novel Coronavirus (Covid-19) Antigen Test Kit (Colloidal Gold),China,Australia TGA; CE-IVD,95.00%,-,-,99.60%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,20,a266900000B2bwW
a266900000A9wJ0,Hangzhou Lysun Biotechnology Co.Ltd,COVID-19 antigen Rapid Test Device(Colloidal Gold),China,CE-IVD,96.67%,92.39%,98.91%,100.00%,99.39%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,10,a266900000A9wJ0
a266900000B2c2Z,"Hangzhou Realy Tech Co., Ltd.",Novel Coronavirus (SARS-COV-2) Antigen Rapid test cassette (nasal swab),China,Australia TGA; CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000B2c2Z
a266900000B2ln7,"Hangzhou Realy Tech Co., Ltd.",Novel Coronavirus (SARS-COV-2) Antigen Rapid Test,China,Australia TGA; CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,20,a266900000B2ln7
a266900000A9wFb,"Hangzhou Singclean Medical Products Co., Ltd.",COVID-19 Test kit (Colloidal Gold Method) Saliva,China,CE-IVD,99.99%,97.75%,100.00%,99.57%,97.58%,99.92%,Antigen,Unknown,Intended for professional use only,Saliva,15,a266900000A9wFb
a266900000A9wJJ,"Hangzhou Singclean Medical Products Co., Ltd.",COVID-19 Test Kit (Colloidal Gold Method),China,CE-IVD; WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000A9wJJ
a266900000B2ldP,"Hangzhou Singclean Medical Products Co., Ltd.",COVID-19 Test Kit (Colloidal Gold Method)(for self-testing),China,CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldP
a266900000A9wAe,"Hangzhou Testsea Biotechnology Co.,Ltd",COVID-19 Antigen Test Cassette (Saliva),China,CE-IVD,90.00%,79.40%,96.24%,100.00%,88.43%,100.00%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9wAe
a266900000B3D2N,"HANGZHOU TESTSEA BIO TECHNOLOGY CO.,LTD",Medriva COVID-19 Antigen test cassette (Nasal),China,Australia TGA; CE-IVD,94.00%,88.70%,99.50%,99.60%,97.50%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B3D2N
a266900000A9wAZ,"HANGZHOU TESTSEA BIO TECHNOLOGY CO.,LTD",Cellife Covid-19 Antigen Test Cassette,China,Australia TGA; CE-IVD,97.60%,94.50%,100.00%,98.40%,96.90%,99.90%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wAZ
a266900000A9wAa,"HANGZHOU TESTSEA BIO TECHNOLOGY CO.,LTD",COVID-19 Antigen test cassette (Nasal),China,CE-IVD,97.50%,95.30%,99.70%,99.20%,98.10%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wAa
a266900000B2ldF,"HANGZHOU TESTSEA BIO TECHNOLOGY CO.,LTD",Cellife Covid-19 Antigen Test Cassette for self-testing,China,Australia TGA,97.00%,84.10%,99.90%,98.00%,91.00%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldF
a266900000B2bti,"HANGZHOU TESTSEA BIO TECHNOLOGY CO.,LTD",Testsea SARS-CoV-2 Antigen Test Kit,China,Australia TGA,97.60%,94.90%,100.00%,98.40%,94.40%,98.80%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,20,a266900000B2bti
a266900000A9wFV,Healgen Scientific LLC,Healgen Rapid COVID-19 Antigen Test,United States,CE-IVD; WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,NA,a266900000A9wFV
a266900000A9w7t,"Hoyotek Biomedical Co., Ltd.",Corona Virus (COVID-19) Antigen Rapid Test (Colloidal Gold),China,CE-IVD,92.00%,-,-,99.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Saliva,15,a266900000A9w7t
a266900000A9w7u,"Hoyotek Biomedical Co., Ltd.",Influenza A/B/Corona Virus (COVID-19) Antigen Rapid Test (Colloidal Gold),China,CE-IVD,96.00%,-,-,99.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9w7u
a266900000A9wDF,Hughes Healthcare UK,SARS-CoV-2 Antigen Rapid Test,United Kingdom,CE-IVD; MHRA UK,97.10%,-,-,99.50%,-,-,Antigen,Other,Intended for professional use only,Nasal swab,15,a266900000A9wDF
a266900000B3Dnh,"Humasis Co., Ltd",Humasis Covid-19 Home Test,"Korea, Republic of",Korea MFDS,92.90%,87.40%,96.10%,99.80%,98.70%,100.00%,Antigen,N-protein; S-protein RBD,Intended for self-testing (version available),Nasopharyngeal swab; Nasal swab,15,a266900000B3Dnh
a266900000A9w8T,"Humasis Co., Ltd",Humasis COVID-19 Ag Test,"Korea, Republic of",Korea MFDS; Brazil ANVISA; CE-IVD,92.90%,87.40%,96.10%,99.80%,98.70%,100.00%,Antigen,N-protein; S-protein RBD,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w8T
a266900000A9wDG,"Humasis Co., Ltd",Humasis COVID-19/Flu Ag Combo Test,"Korea, Republic of",CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wDG
a266900000AdpQT,"Hunan Dear Sens Biotechnology Co., Ltd",The COVID-19 Antigen Rapid Test Kit,China,CE-IVD,95.83%,90.50%,98.63%,98.50%,96.76%,99.45%,Antigen,Unknown,Intended for self-testing (version available),Saliva,10,a266900000AdpQT
a266900000B2vJ9,"iHealth Labs, Inc.",iHealth COVID-19 Antigen Rapid Test Pro,United States,US FDA EUA,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000B2vJ9
a266900000Auhlm,"iHealth Labs, Inc.",iHealth COVID-19 Antigen Rapid Test,United States,US FDA EUA,94.30%,81.40%,98.40%,98.10%,93.30%,99.50%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000Auhlm
a266900000Auhlu,Immunodiagnostics Limited,COVID-19 Ag Detection Kit (Colloidal Gold Immunochromatography),"Hong Kong SAR, China",Brazil ANVISA; CE-IVD; WHO EUL Under Assessment,91.10%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Oropharyngeal swab; Nasal swab,NA,a266900000Auhlu
a266900000A9wHh,InBios International,SCoV-2 Ag Detect Rapid Test,United States,US FDA EUA,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wHh
a266900000Auhlv,InBios International,SCoV-2 Ag Detect Rapid Self-Test,United States,US FDA EUA,85.70%,70.62%,93.74%,100.00%,98.30%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000Auhlv
a266900000A9wHi,Innova Medical Group Inc.,Innova SARS-CoV-2 Antigen Rapid Qualitative Test,United States,CE-IVD; MHRA UK,96.00%,88.70%,99.17%,100.00%,98.34%,100.00%,Antigen,Unknown,Intended for self-testing (version available),Nasal swab,20,a266900000A9wHi
a266900000B26j6,Innovation Scientific Pty Ltd,Innoscreen COVID-19 Antigen Test (Self-Test),Australia,Australia TGA,89.47%,-,-,99.53%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,16,a266900000B26j6
a266900000B2ln6,Innovation Scientific Pty Ltd,InnoScreen COVID-19 Antigen Rapid Test Device,Australia,Australia TGA,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000B2ln6
a266900000A9wI8,Innovative Diagnostics,ID Rapid® COVID-19 Antigen,France,CE-IVD,90.80%,82.90%,95.30%,100.00%,97.80%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wI8
a266900000A9wFd,"Innovita（Tangshan） Biological Technology Co., Ltd.",2019-nCoV Ag Test (Latex Chromatography Assay),China,CE-IVD; WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,NA,a266900000A9wFd
a266900000A9w7B,"InTec Products, Inc.(Xiamen)",InTec Rapid SARS-CoV-2 Antigen Test (Colloidal Gold),China,CE-IVD,93.10%,86.40%,96.60%,100.00%,98.70%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w7B
a266900000B2ldZ,"InTec Products, Inc.(Xiamen)",InTec Rapid SARS-CoV-2 Antigen Test (self-test),China,CE-IVD,96.00%,-,-,99.60%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldZ
a266900000AvvjD,"InTec Products, Inc.(Xiamen)",AQ+ COVID-19 Ag Rapid Test,China,CE-IVD,96.41%,93.08%,98.17%,99.60%,97.74%,99.93%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab; Saliva,15,a266900000AvvjD
a266900000A9wGA,Invex Health Pvt. Ltd.,Seloi Covid 19 Antigen Rapid Diagnostic test,India,India CDSCO,96.00%,-,-,100.00%,-,-,Antigen,S-protein (type unknown),Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,10,a266900000A9wGA
a266900000A9wI4,Inzek international Trading,Biozek BCOV-502 Antigen rapidtest,Netherlands,CE-IVD,95.00%,89.53%,98.48%,99.66%,99.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9wI4
a266900000A9w4x,Inzek international Trading,Covid-19 Antigen Rapid test cassette,Netherlands,CE-IVD,95.37%,89.50%,98.48%,99.66%,98.78%,99.96%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w4x
a266900000A9wE6,iXensor,PixoTest COVID-19 Antigen Test,"Taiwan, Republic of China",Australia TGA; CE-IVD,95.00%,75.13%,99.87%,98.04%,89.55%,99.95%,Antigen,Unknown,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wE6
a266900000A9wEy,"Jiangsu Bioperfectus Technologies Co., Ltd",Novel Corona Virus (SARS-CoV-2) Ag Rapid Test Kit(Self-test),China,CE-IVD,97.06%,93.30%,98.74%,99.15%,98.25%,99.59%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wEy
a266900000A9w71,"Jiangsu Bioperfectus Technologies Co., Ltd",Novel Corona Virus (SARS-CoV-2) Ag Rapid Test Kit,China,CE-IVD; Other,97.06%,88.64%,99.08%,99.15%,95.12%,99.09%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9w71
a266900000A9wHk,"Jiangsu Macro & Micro-Test Med-Tech Co., Ltd",SARS-CoV-2 Virus Antigen Detection Kit (colloidal gold method),China,CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva,NA,a266900000A9wHk
a266900000B2ldu,"Jiangsu Macro & Micro-Test Med-Tech Co., Ltd",SARS-CoV-2 Virus Antigen Detection Kit (colloidal gold method)-Nasal (self-test),China,CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldu
a266900000A9wFY,"Jiangsu Macro & Micro-Test Med-Tech Co., Ltd.",SARS-CoV-2 Virus Antigen Detection Kit (Immunofluorescence Chromatography),China,CE-IVD; WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wFY
a266900000B2ln9,Jiangsu Medomics Medical Technology,SARS-CoV-2 Antigen Test Kit (LFIA),United States,Australia TGA; CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,20,a266900000B2ln9
a266900000A9w6R,"Jiangsu Mole Bioscience Co., LTD.",SARS-CoV-2 Antigen Test Cassette,China,CE-IVD,97.30%,94.80%,99.80%,98.40%,96.90%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9w6R
a266900000B2ldh,"Jiangsu Well Biotech Co.,Ltd.",Orawell COVID-19 Ag Rapid saliva test device (Self-test),China,Australia TGA; CE-IVD,94.74%,89.83%,97.27%,100.00%,98.12%,100.00%,Antigen,Unknown,Intended for self-testing (version available),Saliva,NA,a266900000B2ldh
a266900000A9wKD,"JINAN BABIO BIOTECHNOLOGY CO., LTD.",SARS-CoV-2 Antigen Rapid Detection Kit (Colloidal Gold Method),China,CE-IVD,97.05%,95.38%,98.72%,99.76%,99.53%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva,15,a266900000A9wKD
a266900000A9wDI,"JOINSTAR BIOMEDICAL TECHNOLOGY CO.,LTD",COVID-19 Antigen Rapid Test (Colloidal Gold),China,CE-IVD,96.10%,-,-,97.60%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wDI
a266900000B2ldK,"JOINSTAR BIOMEDICAL TECHNOLOGY CO.,LTD",COVID-19 Antigen Rapid Test (Colloidal Gold) anterior nasal - selftesting device,China,CE-IVD,-,-,-,-,-,-,Antigen,Other,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldK
a266900000A9w5L,Joysbio Biotechnology Co Ltd.,SARS-COV-2 Antigen Rapid Test Kit,China,CE-IVD,98.13%,93.40%,99.80%,99.22%,97.70%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w5L
a266900000A9w8X,"KH Medical Co., Ltd.",RADI COVID-19 Ag Rapid Test,"Korea, Republic of",Brazil ANVISA; CE-IVD,100.00%,88.70%,100.00%,100.00%,88.70%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,30,a266900000A9w8X
a266900000A9w8c,"KH Medical Co., Ltd.",RADI Flu-SC2 Ag Rapid Test,"Korea, Republic of",CE-IVD,100.00%,83.80%,100.00%,100.00%,83.89%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,30,a266900000A9w8c
a266900000A9wDJ,"Koch Biotechnology (Beijing) Co., Ltd",COVID-19 Antigen Rapid Test Kit,China,CE-IVD; MHRA UK,98.50%,97.20%,99.80%,99.30%,98.50%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,20,a266900000A9wDJ
a266900000B2e3I,"KOHJIN BIO CO., LTD.",KBM LineCheck nCoV/Flu,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Unknown,NA,a266900000B2e3I
a266900000B2cB0,"KOHJIN BIO CO., LTD.",KBM LineCheck nCoV (Stick Type),Japan,Japan MHLW,78.60%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,NA,a266900000B2cB0
a266900000A9w5B,"LabGenomics Co., Ltd.",LabGun COVID-19 Rapid Antigen Kit,"Korea, Republic of",CE-IVD,97.50%,91.26%,99.70%,100.00%,94.04%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9w5B
a266900000A9w6H,"Labnovation Technologies, Inc.",SARS-CoV-2 Antigen Rapid Test Kit,China,CE-IVD,96.00%,90.07%,98.90%,97.50%,95.45%,98.79%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,20,a266900000A9w6H
a266900000A9wG0,Labx Corp  ( Design & Development)/Beijing LEPU Medical TEchnology Co. Ltd.,SARs CoV-2 Integrated Self Test Kit,Philippines,CE-IVD; Germany BfArM,95.06%,91.50%,97.15%,99.62%,97.89%,99.93%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wG0
