submission_id,manufacturer,submission_title,type_of_technology,self_testing_self_collection,assay_target,test_format,target_analyte,validated_sample_types,instrument_requirement,level_of_automation,laboratory_point_of_care,time_to_result,connectivity,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta_plus,sc2_delta,sc2_omicron,regulatory_status,clinical_sensitivity,clinical_specificity,permalink,regex,country,region
a266900000A9wF6,Embio Diagnostics,CovBELD,Immunoassay,Intended for professional use only,Antigen,Unspecified,S-protein S1,Nasopharyngeal swab; Nasal swab,A proprietary/new instrument is required,Manual,True Point of Care,3,Yes,Unknown,No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,92.73 %,97.79 %,https://embiodiagnostics.eu/,cyprus,Cyprus,Europe
a266900000A9wF7,"Access Bio, Inc.",CareStart COVID-19 Antigen Home Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,10,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,US FDA EUA; Australia TGA,91.67 %,96.63 %,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wF9,"CTK Biotech, inc.",OnSite COVID-19 Ag Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,WHO EUL; Australia TGA; Brazil ANVISA; CE-IVD; Philippines FDA; South Africa SAHPRA; Colombia INVIMA; Peru DIGEMID; Indonesia MDR,92.30 %,100.00 %,https://www.ctkbiotech.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wF5,"Shenzhen Huian Biosci Technology Co., ltd.",V-Pass SARS-CoV-2 Neutralizing Antibody Rapid Test (Colloidal Gold),Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Other,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,96.19 %,95.00 %,https://www.huiantech.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B5hdg,Sansure Biotech Inc.,Novel Coronavirus (2019-nCoV) Nucleic Acid Diagnostic Kit (PCR-Fluorescence Prob,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Bronchoalveolar lavage; Sputum; Feces; Serum,Standard lab instrumentation is required,Manual,Lab-based,90,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; China NMPA; Australia TGA; Brazil ANVISA; Singapore HSA; CE-IVD; MHRA UK; WHO EUL Under Assessment,94.34 %,98.96 %,https://www.sansure.com.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wF0,DIASORIN S.P.A.,LIAISON SARS-CoV-2 TrimericS IgG assay,Immunoassay,Intended for professional use only,Antibody (serological),Chemiluminescent Immunoassay (CLIA),IgG,Serum; Plasma,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,35,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,US FDA EUA; Australia TGA; Health Canada; CE-IVD,98.70 %,99.50 %,https://www.diasorin.com/home/,italy,Italy,Europe
a266900000A9wF1,"Asan Pharmaceutical Co., ltd.",Asan Easy Test COVID-19 Ag,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,94.70 %,97.70 %,https://www.asanpharm.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9wF3,GenScript Biotech,cPass SARS-CoV-2 Neutralization Antibody Kit,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,Other,Serum; Plasma,Standard lab instrumentation is required,Automated (excluding sample preparation),Lab-based,60,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA; Brazil ANVISA; Singapore HSA; CE-IVD,100.00 %,100.00 %,https://www.genscript.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEx,Camp Medica Distribution,SARS-CoV-2 antigen/ lateral flow test (RDT)/ See Now Coronavirus nCoV antigen,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,96.17 %,99.16 %,NA,r(o|u|ou)mania,Romania,Europe
a266900000A9wEy,"Jiangsu Bioperfectus Technologies Co., ltd.",Novel Corona Virus (SARS-CoV-2) Ag Rapid Test Kit(Self-test),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,97.06 %,99.15 %,https:/bioperfectus.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEz,Coris BioConcept,COVID-19 Sero NP/RBD,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Total Antibody,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,98.40 %,98.50 %,https://www.corisbio.com,^(?!.*luxem).*belgium,Belgium,Europe
a266900000A9wEm,"Shenzhen Mindray Bio-Medical Electronics Co., ltd.",SARS-CoV-2 S-RBD IgG (CLIA),Immunoassay,Intended for professional use only,Antibody (serological),Chemiluminescent Immunoassay (CLIA),IgG,Serum; Plasma,Standard lab instrumentation is required,Automated (excluding sample preparation),Lab-based,30,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,99.64 %,99.65 %,https://www.mindray.com/en/index.html,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEo,BioSpeedia International S.A.R.L,COVID19 Speed Antigen Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD,97.46 %,99.28 %,https://www.biospeedia.com,^(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul,France,Europe
a266900000A9wEp,Mobidiag,Novodiag COVID-19,Molecular,Intended for professional use only,RNA,Cartridge-based processing,N gene; ORF1ab,Nasopharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,NA,NA,http://mobidiag.com/,finland,Finland,Europe
a266900000A9wEq,Mobidiag,Amplidiag COVID-19,Molecular,Intended for professional use only,RNA,Cartridge-based processing,N gene; ORF1ab,Nasopharyngeal swab,Unknown,Unknown,Lab-based,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,NA,NA,http://mobidiag.com/,finland,Finland,Europe
a266900000A9wEt,Luminostics,Clip COVID Rapid Antigen Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,30,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA,96.90 %,100.00 %,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wEu,QIAGEN GmbH,QIAreach SARS-CoV-2 Antigen,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA; CE-IVD,NA,NA,NA,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
a266900000A9wEv,CerTest Biotec S.L.,CerTest SARS-CoV-2,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,10,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Brazil ANVISA; CE-IVD; WHO EUL Under Assessment,94.00 %,100.00 %,https://www.certest.es/,spain,Spain,Europe
a266900000A9wEe,"Biohit Healthcare (Hefei) Co., ltd.",SARS-CoV-2 Antigen Rapid Test (Colloidal Gold Method),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,96.12 %,99.49 %,https://www.biohit.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEf,GenMark Diagnostics,ePlex SARS-CoV-2 Test,Molecular,Intended for professional use only,RNA,Cartridge-based processing,Unknown,Nasopharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,NA,Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,NA,NA,https://www.genmarkdx.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wEg,Cue Health,Cue COVID-19 Test,Molecular,Intended for professional use only,RNA,Cartridge-based processing,N gene,Nasal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,20,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,US FDA EUA,98.70 %,97.60 %,https://www.cuehealth.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wEh,"Becton, Dickinson and Company (BD)",BD SARS-CoV-2 Reagents for BD MAX System,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Other,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Australia TGA; Brazil ANVISA; Singapore HSA; CE-IVD,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wEj,Delbio Inc.,Dagene 1 SARS-CoV-2 Detection Kit,Molecular,Intended for professional use only,RNA,Cartridge-based processing,N gene; Other,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,NA,near Point of Care,90,Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,NA,NA,http://www.delbioww.com/en/Home/Index,taiwan|taipei|formosa|^(?!.*peo)(?=.*rep).*china,Taiwan,Asia
a266900000A9wEk,"Nantong Diagnos Biotechnology Co.,ltd.",COVID-19 Antigen Saliva Test Kit (Colloidal Gold) (Cassette),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD; Germany BfArM; Other,98.10 %,99.33 %,https://www.diagnosbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEl,BioSpeedia International S.A.R.L,BioSpeedia COVID19 Nasal Antigen Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD,91.22 %,99.46 %,https://www.biospeedia.com,^(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul,France,Europe
a266900000A9wEd,"GenSure Biotech Inc.,",GenSure COVID-19 Antigen Rapid Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD; WHO EUL Under Assessment,96.86 %,100.00 %,https://www.gensbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEb,DYONMED SA,SieloCovidAg,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,13,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,95.60 %,100.00 %,https://www.dyonmedical.com,greece|hellenic|hellas,Greece,Europe
a266900000A9wEa,Sansure Biotech Inc.,SARS-CoV-2 Rapid Antigen Test (Colloidal Gold Method),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,98.40 %,98.10 %,https://www.sansure.com.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEZ,"Bio-Rad Laboratories, Inc.",Coronavirus Ag Rapid Test Cassette (Swab),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD,97.25 %,100.00 %,https://www.bio-rad.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEU,NIPD Genetics,NIPD Genetics SARS-CoV-2 RT-qPCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; N gene,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,60,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,100.00 %,100.00 %,https://nipd.com,cyprus,Cyprus,Europe
a266900000A9wEV,Taidoc Technology coporation,FORA DIAGNOSTICS COVID-19 Antigen Rapid test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,94.20 %,99.60 %,https://www.testamed.de/diagnostics/produkte/covid-19antigen-schnelltest,taiwan|taipei|formosa|^(?!.*peo)(?=.*rep).*china,Taiwan,Asia
a266900000A9wEX,Taidoc Technology coporation,VTRUST COVID-19 Antigen Rapid test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,93.10 %,99.60 %,https://www.testamed.de/diagnostics/produkte/covid-19antigen-schnelltest,taiwan|taipei|formosa|^(?!.*peo)(?=.*rep).*china,Taiwan,Asia
a266900000A9wEY,Biozek Medical,COVID-19 Antigen Rapid Test Cassette (Oral Fluid),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD,96.24 %,99.72 %,http://biozek.co.uk/,^(?!.*\bant)(?!.*\bcarib).*netherlands,Netherlands,Europe
a266900000A9wET,"Zhejiang GENE SCIENCE Co., ltd.",Novel Coronavirus (COVID-19) Antigen Detection Kit (Latex Immunochromatography),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,94.58 %,98.73 %,https://www.gene-science.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEP,"BioFire Diagnostics, llc",BioFire® Respiratory 2.1 (RP2.1) Panel,Molecular,Intended for professional use only,RNA,Cartridge-based processing,S gene; Other,Nasopharyngeal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,45,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),FDA 510k,98.40 %,98.90 %,https://www.biofiredx.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wER,Ubiquitome,Liberty16 System,Molecular,Intended for self-testing (in development),RNA,"NAT reagent kit – open source",N gene,Nasopharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),True Point of Care,60,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,NA,0.00 %,0.00 %,http://www.ubiquitomebio.com/,new.?zealand,New Zealand,Oceania
a266900000A9wEN,SG Diagnostics Pte ltd.,SG Diagnostics COVID-19 Antigen Rapid Test Kit (Colloidal Gold-Based),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,10,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD; Germany BfArM,97.57 %,99.29 %,https://www.sgdiagnostics.com,singapore,Singapore,Asia
a266900000A9wEO,SML Genetree ltd.,Ezplex SARS-CoV-2 G Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; Other,Nasopharyngeal swab; Oropharyngeal swab; Sputum,Standard lab instrumentation is required,Manual,Lab-based,150,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,US FDA EUA; CE-IVD,100.00 %,100.00 %,https://www.smlgenetree.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9wEL,"Shanghai Chemtron Biotech Co., ltd.",Chemtrue® COVID-19 Ag Rapid Test (Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,10,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,95.19 %,100.00 %,http://www.chemtronbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEM,"Zhuhai Lituo Biotechnology Co., ltd.",COVID-19 Antigen Detection Kit (Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,96.86 %,99.47 %,https://www.lituo.com.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEF,"Guangdong Wesail Biotech Co., ltd.",Coronavirus COVID-19 IgM/IgG Test Kit,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,6,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,93.18 %,99.80 %,https://www.wesailbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEG,"Guangdong Wesail Biotech Co., ltd.",COVID-19 Neutralizing Antibody Test Kit,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Unknown,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,95.40 %,98.40 %,https://www.wesailbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEH,"Guangdong Wesail Biotech Co., ltd.",Flu+COVID-19 Ag Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein; Other,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,91.10 %,98.00 %,https://www.wesailbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEI,"Guangdong Wesail Biotech Co., ltd.",COVID-19 Ag Saliva Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,90.10 %,99.00 %,https://www.wesailbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEJ,Prometheus Bio Inc.,2019-nCoV Neutralizing Antibody Test Cassette (Whole Blood/Serum/Plasma),Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Other,Unknown,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,94.17 %,98.18 %,http://en.prometheusbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wDx,"Nantong Egens Biotechnology Co.,ltd.",SARS-CoV-2 Antigen Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,90.32 %,100.00 %,https://www.egens-bio.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wDy,Xi'an Goldmag Nanobioechco.Ltd.,one-step RT-PCR Novel Coronavirus (2019-nCoV) nucleic acid detection kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Sputum,Standard lab instrumentation is required,Manual,Lab-based,32,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,95.34 %,98.02 %,https://www.goldmag.com.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wDz,Coris BioConcept,COVID-19 Ag Respi-Strip,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,30,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,No impact (analytical/clinical studies conducted),Brazil ANVISA; CE-IVD; Other,91.20 %,98.40 %,https://www.corisbio.com,^(?!.*luxem).*belgium,Belgium,Europe
a266900000A9wE0,Abbott Diagnostics Korea Inc.,Panbio COVID-19 Ag Rapid Test Device (Nasopharyngeal),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),WHO EUL; Japan MHLW; Australia TGA; Health Canada; CE-IVD,91.40 %,99.80 %,https://www.abbott.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wE1,Abbott Diagnostics Korea Inc.,Panbio COVID-19 Ag Rapid Test Device (Nasal),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),WHO EUL; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD,98.10 %,99.80 %,https://www.abbott.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
