submission_id,manufacturer,submission_title,type_of_technology,self_testing_self_collection,assay_target,test_format,target_analyte,validated_sample_types,instrument_requirement,level_of_automation,laboratory_point_of_care,time_to_result,connectivity,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta_plus,sc2_delta,sc2_omicron,regulatory_status,permalink,regex,country,region
a266900000A9wKC,"JINAN BABIO BIOTECHNOLOGY CO., ltd.",SARS-CoV-2 Antigen Rapid Detection Kit (Colloidal Gold Method) (Nasal),Immunoassay,Intended for self-collection (kit available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wKD,"JINAN BABIO BIOTECHNOLOGY CO., ltd.",SARS-CoV-2 Antigen Rapid Detection Kit (Colloidal Gold Method),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.jnbaibo.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a2669000009z9eH,JN Medsys,ProTect COVID-19 RT-qPCR Kit 2.0,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Unknown,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore HSA; CE-IVD,https://jnmedsys.com/,singapore,Singapore,Asia
a266900000A9wDI,"JOINSTAR BIOMEDICAL TECHNOLOGY CO.,ltd.",COVID-19 Antigen Rapid Test (Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.joinstar.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a2669000009yxLG,"JOINSTAR BIOMEDICAL TECHNOLOGY CO.,ltd.",SARS-CoV-2 Neutralizing Antibody Rapid Test (Fluorescence Dry Quantitative Immun,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Neutralizing Antibodies,Serum; Plasma,A proprietary/new instrument is required,Manual,near Point of Care,10,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,CE-IVD,https:/de.joinstar.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a2669000009yhdA,"JOINSTAR BIOMEDICAL TECHNOLOGY CO.,ltd.",SARS-CoV-2 Neutralizing Antibody Rapid Test (Colloidal Gold),Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Neutralizing Antibodies,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,CE-IVD,https://www.joinstar.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a2669000009ykp5,"JOINSTAR BIOMEDICAL TECHNOLOGY CO.,ltd.",SARS-CoV-2 Delta variant Real-Time RT-PCR Test,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",ORF1ab,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,50,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,CE-IVD,www.joinstar.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2ldK,"JOINSTAR BIOMEDICAL TECHNOLOGY CO.,ltd.",COVID-19 Antigen Rapid Test (Colloidal Gold) anterior nasal - selftesting device,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),Unknown,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.joinstar.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w5L,Joysbio Biotechnology Co ltd.,SARS-COV-2 Antigen Rapid Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,https://en.joysbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B5QGu,Joysbio Biotechnology Co ltd.,SARS-CoV-2 Antigen Rapid Test Kit - Saliva (Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,en.joysbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000AvTAL,Joysbio Biotechnology Co ltd.,JOYSBIO COVID-19 IgG/IgM Rapid Test Kit (Colloidal Gold),Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma; Whole Blood,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; WHO EUL Under Assessment,en.joysbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000BEWLj,Kantaro Biosciences LLC,"COVID-SeroKlir, Kantaro Semi-Quantitative SARS-CoV-2 IgG Antibody Kit",Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgG,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; Health Canada,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BBgkA,"Kaya17, Inc",nCoVega saliva test,Immunoassay,Intended for professional use only,Antigen,Cartridge-based processing,Unknown,Saliva,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,NA,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,https://kaya17.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9b8,"KH Medical Co., ltd.",RADI COVID-19 Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",S gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,80,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WHO EUL; Korea MFDS; CE-IVD,https://www.khmedical.co.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w8X,"KH Medical Co., ltd.",RADI COVID-19 Ag Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,30,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brazil ANVISA; CE-IVD,https://www.khmedical.co.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w8c,"KH Medical Co., ltd.",RADI Flu-SC2 Ag Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,30,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.khmedical.co.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w8g,"KH Medical Co., ltd.",RADI Flu-SC2 Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; S gene; Other,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,30,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,NA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000AvSWq,"KH Medical Co., ltd.",SARS-CoV-2 Variant Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",S gene,Nasopharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None,http://www.khmedical.co.kr/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000Auhm2,"KimForest Enterprise Co., ltd.",KimForest SARS-CoV-2 Detection Kit v1,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA; CE-IVD,https://www.kimforest.com/index.php?action=index&lang=1,taiwan|taipei|formosa|^(?!.*peo)(?=.*rep).*china,Taiwan,Asia
a266900000A9wDJ,"Koch Biotechnology (Beijing) Co., ltd.",COVID-19 Antigen Rapid Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; MHRA UK,https://www.kochbiotech.net/exportproducts/sars-cov-2-antigen-lateral-flow-assay,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wJV,"KogeneBiotech Co., ltd.",PowerChek SARS-CoV-2 S-gene Mutation Detection Kit ver1.0.,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Other,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,60,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,None,https://www.kogene.co.kr/eng,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAcrl,"KogeneBiotech Co., ltd.","PowerChek? SARS-CoV-2, Influenza A&B Multiplex Real-time PCR Kit",Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; ORF1ab; Influenza A; Influenza B,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),Korea MFDS; CE-IVD,www.kogene.co.kr/eng,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000AvSWi,"KogeneBiotech Co., ltd.",PowerChek SARS-CoV-2 S-gene Mutation Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",S gene,Nasopharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,CE-IVD,https://www.kogene.co.kr/eng/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000Auhm3,"KogeneBiotech Co., ltd.",PowerChek 2019-nCoV Real-time PCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),US FDA EUA; Korea MFDS; WHO EUL Under Assessment,www.kogene.co.kr/eng,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B2e3I,"KOHJIN BIO CO., ltd.",KBM LineCheck nCoV/Flu,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,near Point of Care,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,japan,Japan,Asia
a266900000B2cB0,"KOHJIN BIO CO., ltd.",KBM LineCheck nCoV (Stick Type),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,near Point of Care,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,japan,Japan,Asia
a2669000009z9eI,Krishgen Biosystems,Human SARS-CoV-2 (Covid-19) Antigen ELISA,Immunoassay,Intended for professional use only,Antigen,IA Reagent Kit,Unknown,Unknown,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.krishgen.com,india(?!.*ocea),India,Asia
a2669000009z9eJ,Krishgen Biosystems,Human Anti-SARS-CoV-2 (Covid-19) Nucleocapsid Protein IgG ELISA (manual),Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgG,Nasopharyngeal swab; Oropharyngeal swab; Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.krishgen.com,india(?!.*ocea),India,Asia
a2669000009z9eK,Krishgen Biosystems,Human Anti-SARS-CoV-2 (Covid-19) Spike Protein IgG ELISA,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgG,Unknown,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.krishgen.com,india(?!.*ocea),India,Asia
a2669000009z9eL,Krishgen Biosystems,SARS-CoV-2 (Covid-19) Real-Time PCR Kit (as per CDC Atlanta guidelines),Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Unknown,Nasopharyngeal swab; Oropharyngeal swab; Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.krishgen.com,india(?!.*ocea),India,Asia
a2669000009z9eM,Krishgen Biosystems,SARS-CoV-2 Surrogate Virus Neutralization Test (sVNT) ELISA,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,Neutralizing Antibodies,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.krishgen.com,india(?!.*ocea),India,Asia
a2669000009z9eN,Krishgen Biosystems,Human SARS-CoV-2 (Covid-19) Qualitative ELISA,Immunoassay,Intended for professional use only,Antigen,IA Reagent Kit,N-protein,Nasopharyngeal swab; Oropharyngeal swab; Serum,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.krishgen.com,india(?!.*ocea),India,Asia
a266900000A9wAE,"Kyorin Pharmaceutical Co., ltd.",SARS-CoV-2 GeneSoC N2 Kyorin,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",Unknown,Nasopharyngeal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,15,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,japan,Japan,Asia
a266900000A9wGj,L&H Biotech Limited,COVID-19 Antigen Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Unknown,No instrumentation is required,Manual,True Point of Care,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w5B,"LabGenomics Co., ltd.",LabGun COVID-19 Rapid Antigen Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,10,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.labgenomics.co.kr/eng/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BActw,"LabGenomics Co., ltd.",LabGun COVID-19 ExoFast RT-PCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,www.labgenomics.co.kr/eng/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000Auhm4,"LabGenomics Co., ltd.",LabGun COVID-19 RT-PCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA,www.labgenomics.co.kr/eng/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w6H,"Labnovation Technologies, Inc.",SARS-CoV-2 Antigen Rapid Test Kit,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,No instrumentation is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,https://www.labnovation.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w6S,"Labnovation Technologies, Inc.",COVID-19 (SARS-CoV-2) IgM/IgG Antibody Test Kit,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,20,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.labnovation.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a2669000009z9eO,Laboratory Corporation of America,LabCorp 2019 Novel Coronavirus test (139900),Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Unknown,Nasopharyngeal swab; Oropharyngeal swab; Bronchoalveolar lavage; Sputum,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://www.labcorp.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9eP,Labsystems Diagnostics Oy,COVID-19 Real Time Multiplex RT PCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.labsystemsdx.com,finland,Finland,Europe
a266900000A9wG0,Labx Corp ( Design & Development)/Beijing LEPU Medical TEchnology Co. ltd.,SARs CoV-2 Integrated Self Test Kit,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD; Germany BfArM,https://www.labx.asia,philippines,Philippines,Asia
a266900000A9wK2,Labx Corp ( Design & Development)/Beijing LEPU Medical TEchnology Co. ltd.,ARIA integrated SELFTEST KIT(iSTK),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Mid-turbinate swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD; Philippines FDA; Germany BfArM,https://www.labx.asia,philippines,Philippines,Asia
a266900000A9w97,Laipac Technology Inc.,LooK SPOT 2,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),True Point of Care,1,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,NA,canada,Canada,North America
a266900000A9w7x,Laipac Technology Inc.,LooK SPOT,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,A proprietary/new instrument is required,Manual,True Point of Care,8,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD; Germany BfArM; Other,https://www.laipac.com,canada,Canada,North America
a266900000A9w8t,"Lansion Biotechnology Co., ltd.",COVID-19 Antigen Test Kit (Dry Fluorescence Immunoassay),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,A proprietary/new instrument is required,Manual,True Point of Care,15,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,http://en.lansionbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w8u,"Lansion Biotechnology Co., ltd.",(COVID-19) IgM/IgG Test Kit (Dry Fluorescence Immunoassay),Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma,A proprietary/new instrument is required,Manual,True Point of Care,15,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,http://en.lansionbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w9J,"Lansion Biotechnology Co., ltd.",SARS-CoV-2 Neutralizing Antibodies Test Kit (Dry Fluorescence Immunoassay),Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Neutralizing Antibodies,Serum; Plasma,A proprietary/new instrument is required,Manual,True Point of Care,15,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,http://en.lansionbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B5QGv,"Lansion Biotechnology Co., ltd.",COVID-19 Antigen Test Kit (DryColorLatex Immunoassay),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.lansionbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3llS,"Lansion Biotechnology Co., ltd.",COVID-19 Antigen Test Kit (Dry Fluorescence Immunoassay) (self-testing),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,A proprietary/new instrument is required,Manual,True Point of Care,15,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,http://en.lansionbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wE7,"Leadgene Biomedical, Inc.",Leadgene SARS/SARS-CoV-2 Antigen Rapid Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Nasopharyngeal swab; Other,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://leadgenebio.com,taiwan|taipei|formosa|^(?!.*peo)(?=.*rep).*china,Taiwan,Asia
a2669000009z9eR,LGC Biosearch technology,2019-nCoV CDC-qualified Probe and Primer Kits for SARS-CoV-2,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Other,Unknown,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://www.biosearchtech.com,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000BAst3,LGC Biosearch technology,Biosearch Technologies SARS-CoV-2 ultra-high-throughput End-Point RT-PCR Test,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene,Nasal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,NA,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,https://www.biosearchtech.com,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
